uploader,expset,model,n,provider,mode,pmodel,maxtok,think,temp_sent,temp,nag,gllm,rtext,renc,rtokpos
arabella,2agent_clean_sonnet45,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,300.0,300.0,0.0,300.0
arabella,2agent_noisy_sonnet45_negative2_informed,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,300.0,300.0,0.0,300.0
arabella,8agent_anonymous_history3_sonnet45,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,8.0,400.0,400.0,0.0,400.0
arabella,8agent_named_history3_sonnet45,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,8.0,400.0,400.0,0.0,400.0
arabella,8agent_old_prompt_sonnet45,anthropic/claude-sonnet-4.5,10,nan,nan,nan,nan,nan,nan,0.8,8.0,800.0,800.0,0.0,800.0
ivarfresh,ablation_phase1,anthropic/claude-sonnet-4.5,80,nan,nan,nan,nan,nan,nan,0.8,2.0,1600.0,0.0,0.0,0.0
ivarfresh,baseline,anthropic/claude-sonnet-4.5,55,nan,nan,nan,nan,nan,nan,0.8,2.0,1650.0,1650.0,0.0,1650.0
ivarfresh,baseline,google/gemini-3-pro-preview,50,nan,nan,nan,nan,nan,nan,0.8,2.0,1500.0,1029.0,471.0,1500.0
ivarfresh,baseline,google/gemini-3.1-pro-preview,46,nan,nan,nan,nan,nan,nan,0.8,2.0,1380.0,1378.0,2.0,1380.0
ivarfresh,baseline,openai/gpt-5-nano,112,nan,nan,nan,nan,nan,nan,0.8,2.0,3360.0,3167.0,39.0,3360.0
ivarfresh,baseline_match_ablation,openai/gpt-5-nano,126,nan,nan,nan,nan,nan,nan,0.8,2.0,2970.0,0.0,2915.0,2915.0
ivarfresh,gemini31_flashlite_8agent_directive_normative_r10_smoke,google/gemini-3.1-flash-lite,3,nan,nan,nan,nan,nan,nan,0.8,8.0,240.0,53.0,187.0,240.0
ivarfresh,gemini31_flashlite_8agent_myth_directive_history3_r10_n5,google/gemini-3.1-flash-lite,5,nan,nan,nan,nan,nan,nan,0.8,8.0,400.0,161.0,239.0,400.0
ivarfresh,gpt5nano_8agent_myth_directive_history3_anon_r10_n5,openai/gpt-5-nano,5,nan,nan,nan,nan,nan,nan,0.8,8.0,400.0,377.0,0.0,0.0
ivarfresh,memtest_hybrid_smoke,anthropic/claude-haiku-4.5,1,nan,nan,nan,nan,nan,nan,0.8,2.0,6.0,0.0,0.0,0.0
ivarfresh,memtest_hybrid_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,2.0,100.0,0.0,0.0,0.0
ivarfresh,memtest_memoryprimary_smoke,anthropic/claude-haiku-4.5,1,nan,nan,nan,nan,nan,nan,0.8,2.0,6.0,0.0,0.0,0.0
ivarfresh,memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,2.0,100.0,0.0,0.0,0.0
ivarfresh,memtest_stateless_smoke,anthropic/claude-haiku-4.5,1,nan,nan,nan,nan,nan,nan,0.8,2.0,6.0,0.0,0.0,0.0
ivarfresh,memtest_stateless_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,2.0,100.0,0.0,0.0,0.0
ivarfresh,myth_causal_confirm_claude_fixed_prompt,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,240.0,0.0,0.0,0.0
ivarfresh,myth_causal_confirm_claude_fixed_prompt_r10,anthropic/claude-sonnet-4.5,20,nan,nan,nan,nan,nan,nan,0.8,2.0,400.0,400.0,0.0,400.0
ivarfresh,myth_causal_confirm_claude_fixed_prompt_r10_directive_retry,anthropic/claude-sonnet-4.5,10,nan,nan,nan,nan,nan,nan,0.8,2.0,200.0,200.0,0.0,200.0
ivarfresh,myth_causal_confirm_claude_fixed_prompt_topup,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,240.0,0.0,0.0,0.0
ivarfresh,myth_causal_neutral_directive_claude_r10_n5,anthropic/claude-sonnet-4.5,30,nan,nan,nan,nan,nan,nan,0.8,2.0,600.0,600.0,0.0,600.0
ivarfresh,myth_causal_neutral_directive_claude_r5,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,150.0,150.0,0.0,150.0
ivarfresh,myth_causal_normative_clamped_claude_r10_n5,anthropic/claude-sonnet-4.5,4,nan,nan,nan,nan,nan,nan,0.8,2.0,80.0,80.0,0.0,80.0
ivarfresh,myth_causal_normative_clamped_gemini31_flashlite_r10_n5,google/gemini-3.1-flash-lite,20,nan,nan,nan,nan,nan,nan,0.8,2.0,400.0,171.0,229.0,400.0
ivarfresh,myth_causal_normative_clamped_maxtok4096_claude_r10_n5,anthropic/claude-sonnet-4.5,2,nan,nan,nan,nan,nan,nan,0.8,2.0,40.0,40.0,0.0,40.0
ivarfresh,myth_causal_normative_clean_claude_r10_n5,anthropic/claude-sonnet-4.5,20,nan,nan,nan,nan,nan,nan,0.8,2.0,400.0,400.0,0.0,400.0
ivarfresh,myth_causal_normative_newprompt_claude_r10_n5,anthropic/claude-sonnet-4.5,20,nan,nan,nan,nan,nan,nan,0.8,2.0,400.0,400.0,0.0,400.0
ivarfresh,myth_causal_screen_claude,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,240.0,0.0,0.0,0.0
ivarfresh,myth_prompt_variants_claude_followup,anthropic/claude-sonnet-4.5,15,nan,nan,nan,nan,nan,nan,0.8,2.0,150.0,0.0,0.0,0.0
ivarfresh,myth_prompt_variants_claude_n3,anthropic/claude-sonnet-4.5,5,nan,nan,nan,nan,nan,nan,0.8,2.0,30.0,0.0,0.0,0.0
