cell,run,send_fraction,return_ratio,final_balance,reply_chars,n_decisions
reference,negative_only_crossmodel_population_myth_game_n5_005_neutral_rep00_memtest_memory_primary_anything.json,0.6033333333333333,0.4319462481962482,50.166666666666664,1302.9833333333333,60
reference,negative_only_crossmodel_population_myth_game_n5_006_neutral_rep01_memtest_memory_primary_anything.json,0.5833333333333333,0.4448318216175359,49.666666666666664,1281.1166666666666,60
reference,negative_only_crossmodel_population_myth_game_n5_007_neutral_rep02_memtest_memory_primary_anything.json,0.5266666666666666,0.44990079365079366,48.583333333333336,1265.3333333333333,60
reference,negative_only_crossmodel_population_myth_game_n5_008_neutral_rep03_memtest_memory_primary_anything.json,0.6066666666666667,0.44681938431938434,51.333333333333336,1303.6166666666666,60
reference,negative_only_crossmodel_population_myth_game_n5_009_neutral_rep04_memtest_memory_primary_anything.json,0.64,0.44414141414141417,52.0,1278.15,60
json_only,fmt_claude_defectors25_myth_game_json_only_n5_000_neutral_rep00_myth_writing_later_rounds_anything.json,0.32333333333333336,0.3525679012345679,37.666666666666664,12.866666666666667,60
json_only,fmt_claude_defectors25_myth_game_json_only_n5_001_neutral_rep01_myth_writing_later_rounds_anything.json,0.4083333333333333,0.4095193833943834,43.666666666666664,12.983333333333333,60
json_only,fmt_claude_defectors25_myth_game_json_only_n5_002_neutral_rep02_myth_writing_later_rounds_anything.json,0.43666666666666665,0.40310317460317463,45.333333333333336,15.533333333333333,60
json_only,fmt_claude_defectors25_myth_game_json_only_n5_003_neutral_rep03_myth_writing_later_rounds_anything.json,0.36666666666666664,0.3645058479532164,40.583333333333336,13.116666666666667,60
reasoning_then_json,fmt_claude_defectors25_myth_game_reasoning_then_json_n5_000_neutral_rep00_myth_writing_later_rounds_anything.json,0.5533333333333333,0.4522420634920635,47.916666666666664,348.35,60
reasoning_then_json,fmt_claude_defectors25_myth_game_reasoning_then_json_n5_001_neutral_rep01_myth_writing_later_rounds_anything.json,0.5066666666666666,0.41719047619047617,47.333333333333336,343.8666666666667,60
reasoning_then_json,fmt_claude_defectors25_myth_game_reasoning_then_json_n5_002_neutral_rep02_myth_writing_later_rounds_anything.json,0.5166666666666667,0.42508297258297256,47.083333333333336,356.25,60
reasoning_then_json,fmt_claude_defectors25_myth_game_reasoning_then_json_n5_003_neutral_rep03_myth_writing_later_rounds_anything.json,0.5,0.40400072150072147,46.75,359.78333333333336,60
reasoning_then_json,fmt_claude_defectors25_myth_game_reasoning_then_json_n5_004_neutral_rep04_myth_writing_later_rounds_anything.json,0.5766666666666667,0.43945578231292515,49.833333333333336,349.85,60
