condition,metric,control_mean,control_median,directive_mean,directive_median,mann_whitney_p
No Noise,role_frame_per_1000,0.024271844660194174,0.0,2.213418287578924,1.8553126917616765,0.00037966618879877096
No Noise,action_per_1000,2.444375117047545,2.3079785885854562,21.3016695720601,20.595300026332183,0.00018267179110955002
No Noise,exchange_per_1000,12.035700614057848,10.16562591890324,23.07022705942542,23.13671228724323,0.0028272720911168077
No Noise,pct_myths_with_role_frame,0.5,0.0,25.0,22.5,0.0003623413775232962
No Noise,pct_myths_with_action,33.0,35.0,96.0,97.5,0.0001538463426057211
No Noise,pct_myths_with_exchange,78.5,75.0,96.5,100.0,0.004131489362847809
"Negative U(0,2) (Informed)",role_frame_per_1000,0.3582900076270297,0.0,1.3153031331519158,1.1426045702511725,0.007706707514751633
"Negative U(0,2) (Informed)",action_per_1000,6.531321068782644,5.079999552450056,26.370102715179655,27.225618977547576,0.0002461281279052297
"Negative U(0,2) (Informed)",exchange_per_1000,17.99902530388399,15.266213903505767,23.77131878839647,23.969598878623874,0.12122450301291661
"Negative U(0,2) (Informed)",pct_myths_with_role_frame,3.5,0.0,22.5,17.5,0.0021656352194506
"Negative U(0,2) (Informed)",pct_myths_with_action,51.5,45.0,98.5,100.0,0.00013961199954164725
"Negative U(0,2) (Informed)",pct_myths_with_exchange,85.0,87.5,98.5,100.0,0.007325037675412292
