condition,metric,control_mean,control_median,directive_mean,directive_median,mann_whitney_p
No Noise,role_frame_per_1000,0.0,0.0,2.266999037308517,1.797087426427154,0.00023124570864334055
No Noise,action_per_1000,2.605311434307967,2.2936570142616954,20.05964539473235,20.223495187690666,0.0001816511460914649
No Noise,exchange_per_1000,12.628344669125005,10.995027701368748,21.81081580558489,21.877475886971645,0.0072845570094796615
No Noise,pct_myths_with_role_frame,0.0,0.0,26.666666666666664,24.999999999999996,0.00022676312236602324
No Noise,pct_myths_with_action,35.55555555555556,36.111111111111114,95.55555555555556,97.22222222222223,0.00015747974020641464
No Noise,pct_myths_with_exchange,78.88888888888889,75.0,96.11111111111111,100.0,0.005998712115773
"Negative U(0,2) (Informed)",role_frame_per_1000,0.3704049630277956,0.0,1.2975182595411074,0.7637585918790762,0.014976495757794901
"Negative U(0,2) (Informed)",action_per_1000,6.947357965813724,5.6210393883382,25.880164991717017,26.05200553172512,0.0003298385207779935
"Negative U(0,2) (Informed)",exchange_per_1000,18.65488960169384,16.073380621747035,23.391864490756863,23.671655359250096,0.14046504815835498
"Negative U(0,2) (Informed)",pct_myths_with_role_frame,3.333333333333333,0.0,22.777777777777775,16.666666666666664,0.0035732369664455725
"Negative U(0,2) (Informed)",pct_myths_with_action,53.333333333333336,50.0,98.33333333333334,100.0,0.00016481221051593012
"Negative U(0,2) (Informed)",pct_myths_with_exchange,86.11111111111111,91.66666666666666,98.33333333333334,100.0,0.06732586353635858
