regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_8,198,0,0,0,0,1,1,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_6,204,0,0,0,0,1,2,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_3,209,0,0,0,0,1,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_2,212,0,0,0,0,1,0,1,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_4,214,0,0,0,0,2,0,1,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_1,203,0,0,1,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_5,212,0,0,1,0,1,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,Agent_7,211,1,0,3,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_6,211,0,0,2,0,1,2,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_4,209,0,0,0,0,1,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_7,214,0,0,1,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_8,204,0,0,0,0,1,2,0,4
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_2,204,0,0,0,0,1,0,2,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_5,214,0,0,3,0,1,1,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_1,208,0,0,0,0,1,3,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,Agent_3,205,0,0,0,0,1,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_5,218,0,0,3,0,1,3,4,2
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_8,208,1,0,0,0,1,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_4,207,0,0,1,0,1,2,4,5
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_2,220,0,0,4,0,3,3,6,3
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_1,213,0,0,0,0,1,2,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_6,215,0,0,0,0,1,2,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_3,214,0,0,3,0,1,2,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,Agent_7,206,1,3,1,0,1,1,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_2,217,0,1,3,0,1,0,5,2
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_1,218,1,2,1,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_8,209,1,0,0,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_4,217,0,0,0,0,1,2,8,4
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_6,223,1,2,1,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_3,207,0,1,4,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_7,214,0,3,1,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,Agent_5,213,1,0,2,0,1,1,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_7,215,0,2,2,0,1,1,2,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_1,229,0,0,0,0,1,2,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_6,214,2,0,2,0,2,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_5,198,0,2,2,0,1,2,2,2
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_2,220,1,0,2,0,1,2,3,3
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_4,217,0,1,0,0,1,0,10,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_8,219,0,0,0,0,2,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,Agent_3,222,2,1,9,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_3,232,1,1,8,0,1,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_6,217,0,2,2,0,1,0,1,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_1,235,0,0,3,0,1,1,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_8,218,0,0,6,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_4,217,1,1,1,0,1,1,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_7,223,0,1,2,0,1,1,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_5,206,1,1,3,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,Agent_2,224,0,1,5,0,1,1,4,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_7,217,0,0,2,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_2,225,0,0,1,0,1,3,6,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_3,225,1,4,5,0,2,2,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_8,215,0,1,4,0,1,2,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_4,224,1,2,0,0,1,1,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_1,234,0,1,4,0,1,2,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_5,201,0,2,1,0,1,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,Agent_6,226,1,1,6,0,1,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_1,219,0,0,1,0,1,1,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_5,207,2,5,1,0,1,0,1,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_6,228,2,1,3,0,1,0,2,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_7,227,0,0,2,0,1,2,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_2,220,0,0,4,0,1,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_3,225,1,2,10,0,1,3,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_8,210,0,2,4,0,1,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_4,221,0,0,0,0,1,2,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_2,213,2,1,2,0,1,0,4,0
