exp,cond,round,mean,std,count
claude_2agent_newprompt,control,1,0.5228714,0.10063015,5
claude_2agent_newprompt,control,2,0.3913042,0.10857326,5
claude_2agent_newprompt,control,3,0.41022715,0.065219246,5
claude_2agent_newprompt,control,4,0.44912896,0.1413785,5
claude_2agent_newprompt,control,5,0.55661243,0.1484564,5
claude_2agent_newprompt,control,6,0.5492325,0.09460285,5
claude_2agent_newprompt,control,7,0.5411519,0.1023253,5
claude_2agent_newprompt,control,8,0.60661376,0.07709426,5
claude_2agent_newprompt,control,9,0.58329904,0.11678867,5
claude_2agent_newprompt,control,10,0.64540356,0.13811661,5
claude_2agent_newprompt,directive,1,0.83615017,0.068946905,5
claude_2agent_newprompt,directive,2,0.70463413,0.08237259,5
claude_2agent_newprompt,directive,3,0.701656,0.07131983,5
claude_2agent_newprompt,directive,4,0.7489364,0.04993442,5
claude_2agent_newprompt,directive,5,0.7724215,0.047062494,5
claude_2agent_newprompt,directive,6,0.76590073,0.03908076,5
claude_2agent_newprompt,directive,7,0.79315025,0.04406827,5
claude_2agent_newprompt,directive,8,0.76182556,0.10145249,5
claude_2agent_newprompt,directive,9,0.8267083,0.06897841,5
claude_2agent_newprompt,directive,10,0.81659573,0.07557606,5
claude_2agent_newprompt,normative,1,0.8640485,0.07066587,5
claude_2agent_newprompt,normative,2,0.7227964,0.053765528,5
claude_2agent_newprompt,normative,3,0.67316914,0.108930916,5
claude_2agent_newprompt,normative,4,0.76972216,0.083996296,5
claude_2agent_newprompt,normative,5,0.7263046,0.104838565,5
claude_2agent_newprompt,normative,6,0.7681929,0.09800999,5
claude_2agent_newprompt,normative,7,0.7872281,0.06590912,5
claude_2agent_newprompt,normative,8,0.7780317,0.089317985,5
claude_2agent_newprompt,normative,9,0.8121912,0.042313956,5
claude_2agent_newprompt,normative,10,0.7820387,0.10733812,5
gemini31_8agent_named,directive,1,0.7073899,0.034516707,5
gemini31_8agent_named,directive,2,0.6191703,0.024597207,5
gemini31_8agent_named,directive,3,0.6338721,0.04735332,5
gemini31_8agent_named,directive,4,0.60104126,0.045669038,5
gemini31_8agent_named,directive,5,0.60157996,0.046196792,5
gemini31_8agent_named,directive,6,0.613122,0.026750322,5
gemini31_8agent_named,directive,7,0.62137926,0.035537314,5
gemini31_8agent_named,directive,8,0.61050475,0.07061809,5
gemini31_8agent_named,directive,9,0.62295413,0.050241698,5
gemini31_8agent_named,directive,10,0.5977019,0.051181547,5
gemini_2agent_clamped,control,1,0.72711813,0.059047233,5
gemini_2agent_clamped,control,2,0.79589355,0.093624264,5
gemini_2agent_clamped,control,3,0.79578006,0.13899443,5
gemini_2agent_clamped,control,4,0.8076727,0.072208576,5
