exp,cond,file,round,mean_pairwise_sim
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,1,0.64033914
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,2,0.22608742
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,3,0.3993969
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,4,0.37523994
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,5,0.60275203
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,6,0.6240207
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,7,0.606989
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,8,0.66735435
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,9,0.6256199
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_005_neutral_rep00_myth_control_anything,10,0.6564394
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,1,0.4523844
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,2,0.49555135
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,3,0.5168295
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,4,0.6046066
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,5,0.78102434
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,6,0.6494705
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,7,0.59795344
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,8,0.508766
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,9,0.6734186
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_006_neutral_rep01_myth_control_anything,10,0.7452903
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,1,0.39176708
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,2,0.36264935
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,3,0.38758034
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,4,0.58864766
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,5,0.52596956
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,6,0.47670382
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,7,0.49589023
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,8,0.5807572
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,9,0.5472625
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_007_neutral_rep02_myth_control_anything,10,0.5242075
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,1,0.54243994
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,2,0.39055774
