exp,cond,file,round,agent,n_tokens,ttr,entropy_bits,mean_sentence_length
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,1,Agent_1,207,0.6038647342995169,6.367249239497044,12.9375
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,1,Agent_2,201,0.5472636815920398,6.193654225346409,16.75
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,2,Agent_2,204,0.6127450980392157,6.370266795282306,14.571428571428571
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,2,Agent_1,208,0.6057692307692307,6.5151836477640135,12.235294117647058
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,3,Agent_1,221,0.5520361990950227,6.435644188496479,11.631578947368421
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,3,Agent_2,214,0.6121495327102804,6.533643616357607,12.588235294117647
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,4,Agent_2,222,0.6216216216216216,6.550408350415075,10.571428571428571
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,4,Agent_1,221,0.583710407239819,6.548826051014289,11.631578947368421
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,5,Agent_1,233,0.5965665236051502,6.605941221043423,9.708333333333334
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,5,Agent_2,219,0.6255707762557078,6.582908371828832,10.428571428571429
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,6,Agent_2,228,0.6140350877192983,6.732248691904964,12.666666666666666
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,6,Agent_1,224,0.6071428571428571,6.660142792367233,10.666666666666666
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,7,Agent_1,238,0.634453781512605,6.897706695223558,13.222222222222221
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,7,Agent_2,227,0.6343612334801763,6.822823542840983,11.947368421052632
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,8,Agent_2,231,0.5800865800865801,6.631961263125672,13.588235294117647
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,8,Agent_1,231,0.6190476190476191,6.666103540448373,15.4
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,9,Agent_1,227,0.5770925110132159,6.564576338753807,11.947368421052632
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,9,Agent_2,224,0.5848214285714286,6.607915262176144,13.176470588235293
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,10,Agent_2,222,0.5900900900900901,6.562897031330167,13.875
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,10,Agent_1,222,0.5315315315315315,6.345428873785865,13.875
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,1,Agent_1,205,0.5658536585365853,6.213242126545434,15.76923076923077
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,1,Agent_2,207,0.5845410628019324,6.441077572323206,15.923076923076923
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,2,Agent_2,201,0.6019900497512438,6.418204160000504,14.357142857142858
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,2,Agent_1,209,0.6267942583732058,6.540108758934738,13.0625
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,3,Agent_1,225,0.5911111111111111,6.485659259962407,17.307692307692307
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,3,Agent_2,221,0.5565610859728507,6.481458563859778,14.733333333333333
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,4,Agent_2,221,0.5339366515837104,6.461700410577084,12.277777777777779
