group,run,sim_slope,sim_mean,sim_r1,sim_r10,sent_frac,ret_frac,sent_slope,ret_slope
dyad_directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,0.0039,0.7271,0.8195,0.7819,0.6000,0.6667,-0.0000,-0.0000
dyad_directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,0.0049,0.8272,0.8104,0.8313,1.0000,0.5333,-0.0000,-0.0000
dyad_directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,0.0138,0.8211,0.7987,0.8265,1.0000,0.6667,-0.0000,-0.0000
dyad_directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,0.0087,0.7383,0.7825,0.7894,1.0000,0.6667,-0.0000,-0.0000
dyad_directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,0.0069,0.6984,0.7309,0.8127,0.8000,0.6667,-0.0000,-0.0000
dyad_normative,sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything,0.0111,0.7859,0.9034,0.8036,1.0000,0.6667,-0.0000,-0.0000
dyad_normative,sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything,-0.0213,0.6564,0.8202,0.5446,1.0000,0.6667,-0.0000,-0.0000
dyad_normative,sonnet45_directive_normative_r10_n5_012_neutral_rep02_myth_game_normative_anything,0.0138,0.7063,0.7801,0.9073,0.8000,0.6667,-0.0000,-0.0000
dyad_normative,sonnet45_directive_normative_r10_n5_013_neutral_rep03_myth_game_normative_anything,0.0107,0.8163,0.8889,0.8656,0.6000,0.5556,-0.0000,-0.0000
dyad_normative,sonnet45_directive_normative_r10_n5_014_neutral_rep04_myth_game_normative_anything,-0.0015,0.7671,0.8179,0.7539,0.8900,0.7040,0.0479,0.0632
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,-0.0034,0.6855,0.7679,0.6782,0.9500,0.6375,0.0109,0.0093
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,-0.0058,0.6470,0.8048,0.6807,0.9700,0.5268,0.0133,-0.0010
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,-0.0093,0.6350,0.7804,0.6809,0.9500,0.5513,0.0115,-0.0024
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,-0.0049,0.6688,0.7762,0.6695,0.9650,0.5721,0.0173,0.0031
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,0.0018,0.6869,0.7906,0.7128,0.9200,0.6337,0.0139,0.0049
pop8_anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,0.0034,0.6701,0.7579,0.6965,0.9900,0.5467,0.0055,-0.0000
pop8_anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,0.0011,0.6731,0.7820,0.7044,0.8700,0.6258,0.0145,0.0079
pop8_anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything,-0.0038,0.6941,0.7318,0.7028,0.9850,0.6575,0.0076,0.0050
pop8_anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_003_neutral_rep03_myth_game_directive_anything,-0.0032,0.7035,0.7577,0.7095,0.9750,0.5581,0.0124,0.0038
pop8_anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_004_neutral_rep04_myth_game_directive_anything,0.0041,0.7063,0.7615,0.7101,0.9900,0.6464,0.0055,0.0094
pop8_game_directive,sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything,-0.0118,0.6589,0.7788,0.6497,0.8600,0.5844,0.0073,0.0027
pop8_game_directive,sonnet45_8agent_game_directive_r10_n5_006_neutral_rep01_myth_game_directive_anything,-0.0032,0.6788,0.7834,0.6965,0.9200,0.5799,0.0091,0.0014
pop8_game_directive,sonnet45_8agent_game_directive_r10_n5_007_neutral_rep02_myth_game_directive_anything,-0.0059,0.6759,0.8036,0.6489,0.8850,0.5840,0.0070,0.0048
pop8_game_directive,sonnet45_8agent_game_directive_r10_n5_008_neutral_rep03_myth_game_directive_anything,-0.0061,0.6639,0.7856,0.6557,0.8200,0.6517,0.0030,0.0069
pop8_game_directive,sonnet45_8agent_game_directive_r10_n5_009_neutral_rep04_myth_game_directive_anything,-0.0007,0.6739,0.7663,0.6834,0.9250,0.6150,0.0106,0.0074
