model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
google/gemini-3.1-flash-lite,myth_game,no_noise,1,0.604869777492403,0.04388377341925884,30,6.30711210490067,0.1368888319089169,30,17.637570577570575,1.8262351300939996,30,203.8,6.784363360470641,30
google/gemini-3.1-flash-lite,myth_game,no_noise,2,0.6050140922619394,0.031655076330048,30,6.22559506445587,0.17533953022887283,30,19.526473063973064,2.3286865409872544,30,200.93333333333334,6.258419616161415,30
google/gemini-3.1-flash-lite,myth_game,no_noise,3,0.6005209514414521,0.030509271090391865,30,6.249875470505253,0.14509222054289841,30,20.498712121212122,2.099897339186043,30,200.63333333333333,4.452688713755901,30
google/gemini-3.1-flash-lite,myth_game,no_noise,4,0.6144660890009859,0.023915153672986578,30,6.308865143260304,0.11894146590935302,30,21.339915824915824,1.927175678557488,30,201.5,3.5887756052486215,30
google/gemini-3.1-flash-lite,myth_game,no_noise,5,0.6080399188674801,0.024193549730666012,30,6.270835032715116,0.1450350655698623,30,21.66006734006734,1.9055150451204232,30,201.53333333333333,2.7634727444278133,30
google/gemini-3.1-flash-lite,myth_game,no_noise,6,0.6110450005700871,0.02367528425017624,30,6.292455934294173,0.09799104363078305,30,21.75,2.0571320154238983,30,202.26666666666668,2.827614241520681,30
google/gemini-3.1-flash-lite,myth_game,no_noise,7,0.6104922454336787,0.01768306245983854,30,6.278762411729442,0.09041552885798557,30,22.301271043771045,2.2474606873054275,30,201.96666666666667,2.9182343898362593,30
google/gemini-3.1-flash-lite,myth_game,no_noise,8,0.6077539475661121,0.021997249309844463,30,6.281586821722524,0.12084688592654738,30,22.912834295334296,2.3130136014825626,30,202.3,3.8698658980597136,30
google/gemini-3.1-flash-lite,myth_game,no_noise,9,0.6137946873959826,0.02456734267153732,30,6.302436124562292,0.11000637488895214,30,22.893244348244348,2.532898686681993,30,202.3,3.302559091329651,30
google/gemini-3.1-flash-lite,myth_game,no_noise,10,0.6135920330819146,0.028213885344834384,30,6.287257390229985,0.11778724710490282,30,23.34110149110149,2.2938703114726975,30,201.43333333333334,3.3495582141358566,30
