model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,myth_game,no_noise,1,0.6211277222070941,0.03648557172741172,30,6.535002073403561,0.1453348900987634,30,14.782629176379176,2.1658806317627666,30,202.1,6.915001184331813,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,2,0.6411875944400134,0.050302999543095916,30,6.617946872588594,0.20958561217117283,30,14.101838276102983,2.0537103410477173,30,206.3,4.9490507623458315,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,3,0.6212152577827053,0.054406162114941224,30,6.617128396859638,0.188464182599548,30,12.790703869648546,1.4817958733207592,30,211.86666666666667,7.713549803735813,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,4,0.6377160534180317,0.04803808266821559,30,6.710804299401847,0.1669292040296547,30,11.92155461882932,1.9057355612487243,30,215.13333333333333,7.518865162598231,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,5,0.6488909903200533,0.05008907826129699,30,6.744933943135973,0.18906949612041887,30,11.718377484247554,2.133483380804642,30,215.93333333333334,5.729135057384072,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,6,0.6453019588353529,0.04612642619027871,30,6.745442407621256,0.1859877959985746,30,10.97910336674538,2.0895823788652153,30,217.13333333333333,5.456620991390021,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,7,0.657889018568618,0.04720422752201836,30,6.814339296920822,0.18322797827541767,30,11.62304745569844,1.9520001885901181,30,219.46666666666667,8.923944285415246,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,8,0.656258393437508,0.04801829953741754,30,6.788852256993228,0.17897664206009223,30,11.074780352356214,1.832064244980956,30,217.0,6.581059552046782,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,9,0.6653414694449429,0.0523028007975051,30,6.809016638205051,0.18298281948386788,30,10.350925211757726,1.4214646190802525,30,217.46666666666667,8.024674591461675,30
anthropic/claude-sonnet-4.5,myth_game,no_noise,10,0.6415786350107274,0.0461147435005135,30,6.724388623389691,0.17343126905561654,30,10.599036998303102,1.691668745758787,30,217.0,9.634707375260364,30
