model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,195,106,0.5435897435897435,6.12750346219968,16.25,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,206,128,0.6213592233009708,6.611235428761381,12.117647058823529,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,197,123,0.6243654822335025,6.452075717654499,12.25,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,206,131,0.6359223300970874,6.49901425128371,12.8125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,210,134,0.638095238095238,6.608759475396643,12.294117647058824,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,221,136,0.6153846153846154,6.664254897187713,11.0,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,224,148,0.6607142857142857,6.783415580317586,11.736842105263158,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_1,218,142,0.6513761467889908,6.745940746943054,11.421052631578947,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_1,225,144,0.64,6.679498400353089,9.73913043478261,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_2,211,142,0.6729857819905213,6.794084960082981,11.666666666666666,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,222,150,0.6756756756756757,6.815149283582419,11.631578947368421,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,221,141,0.6380090497737556,6.737556847143457,7.857142857142857,28
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,212,135,0.6367924528301887,6.7086407263108825,8.791666666666666,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,213,138,0.647887323943662,6.698916072086598,10.6,20
