model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_6,217,134,0.6175115207373272,6.5877684926097,12.055555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_3,203,134,0.6600985221674877,6.6766295599550975,14.5,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_4,204,123,0.6029411764705882,6.390579777458625,13.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,204,123,0.6029411764705882,6.3399552588605275,13.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_7,206,119,0.5776699029126213,6.43415507458978,13.733333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_8,203,131,0.645320197044335,6.607365518705695,12.6875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,209,126,0.6028708133971292,6.519673639846875,12.294117647058824,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_5,209,116,0.5550239234449761,6.490100388806757,13.0625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,197,131,0.6649746192893401,6.466663377385662,13.066666666666666,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,218,143,0.6559633027522935,6.850884969688823,13.5625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_3,206,136,0.6601941747572816,6.6828978119289895,14.642857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_4,215,138,0.641860465116279,6.604871489065099,13.375,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_8,203,114,0.5615763546798029,6.266582961465709,14.428571428571429,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_6,202,130,0.6435643564356436,6.676765445990032,11.823529411764707,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_5,213,137,0.6431924882629108,6.7338765086156895,19.272727272727273,11
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_7,203,133,0.6551724137931034,6.759093795001702,14.428571428571429,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,206,140,0.6796116504854369,6.760552715205371,14.642857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_7,206,124,0.6019417475728155,6.653580991072283,17.083333333333332,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_6,202,138,0.6831683168316832,6.788376844619525,11.166666666666666,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,212,142,0.6698113207547169,6.835286490964419,12.411764705882353,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_5,219,137,0.6255707762557078,6.771916010247266,14.533333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_3,213,135,0.6338028169014085,6.597454360921701,14.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_4,210,137,0.6523809523809524,6.678544508505596,11.61111111111111,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_8,208,122,0.5865384615384616,6.526719522189208,11.5,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_8,216,134,0.6203703703703703,6.65422342238371,10.238095238095237,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_5,210,140,0.6666666666666666,6.853726111618676,13.933333333333334,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,216,130,0.6018518518518519,6.608947486086279,11.944444444444445,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_4,219,142,0.6484018264840182,6.728063089659539,13.625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_7,218,123,0.5642201834862385,6.606202082707231,12.764705882352942,17
