model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_8,198,140,0.7070707070707071,6.859641327181074,13.2,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_4,212,134,0.6320754716981132,6.64698406071381,13.25,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_5,203,129,0.6354679802955665,6.609459747031947,16.916666666666668,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_6,208,119,0.5721153846153846,6.382642397922188,17.333333333333332,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,203,118,0.5812807881773399,6.277067704341763,14.5,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,208,122,0.5865384615384616,6.413553261109069,13.0,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_3,203,118,0.5812807881773399,6.358321791485363,15.615384615384615,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_7,208,128,0.6153846153846154,6.426069480388799,13.0,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_6,211,128,0.6066350710900474,6.492907097243036,15.0,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,204,125,0.6127450980392157,6.484056368614525,14.5,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_7,211,125,0.5924170616113744,6.447638760824583,13.125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_5,198,130,0.6565656565656566,6.613520212034143,13.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,210,128,0.6095238095238096,6.581556637922302,16.076923076923077,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_3,199,133,0.6683417085427136,6.751925563014454,14.142857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_4,214,138,0.6448598130841121,6.691269208730353,11.210526315789474,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_8,215,140,0.6511627906976745,6.697088491824879,16.46153846153846,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_6,213,123,0.5774647887323944,6.3821321360899885,15.142857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_4,212,137,0.6462264150943396,6.7313560704380775,12.411764705882353,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_7,207,129,0.6231884057971014,6.595249398784108,10.842105263157896,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,212,121,0.5707547169811321,6.345038062104084,14.066666666666666,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_3,215,127,0.5906976744186047,6.621514143004817,12.588235294117647,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_8,216,131,0.6064814814814815,6.632672394457536,9.772727272727273,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,219,123,0.5616438356164384,6.531132289531805,12.11111111111111,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_5,218,138,0.6330275229357798,6.709714184708045,13.5625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_4,218,142,0.6513761467889908,6.833557691924374,10.85,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_7,213,143,0.6713615023474179,6.799800658756378,11.777777777777779,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_8,212,147,0.6933962264150944,6.895329207724798,12.411764705882353,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_6,211,138,0.6540284360189573,6.7771570846104385,14.0,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,215,127,0.5906976744186047,6.641739028895156,11.88888888888889,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_1,212,134,0.6320754716981132,6.682727530583761,13.1875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_5,213,139,0.6525821596244131,6.747305718854297,17.666666666666668,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_3,219,148,0.6757990867579908,6.928606724375182,12.823529411764707,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_7,219,137,0.6255707762557078,6.748758222329919,9.083333333333334,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_1,227,130,0.5726872246696035,6.640845635996476,12.555555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_3,219,147,0.6712328767123288,6.929241269979831,12.11111111111111,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_4,217,132,0.6082949308755761,6.731271332359865,11.368421052631579,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_2,229,129,0.5633187772925764,6.570601745912251,11.4,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_5,216,132,0.6111111111111112,6.522614023650644,11.944444444444445,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_8,212,138,0.6509433962264151,6.824509872144939,12.411764705882353,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_6,215,124,0.5767441860465117,6.596922879949114,14.266666666666667,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_4,223,134,0.600896860986547,6.728368384552257,11.68421052631579,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,226,133,0.588495575221239,6.663911624979876,10.227272727272727,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_6,207,137,0.6618357487922706,6.78405652549027,10.842105263157896,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_3,232,137,0.5905172413793104,6.808144169739718,12.833333333333334,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,234,117,0.5,6.479312554169205,11.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_8,222,143,0.6441441441441441,6.858318850457646,13.0,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_5,226,123,0.5442477876106194,6.546154199970641,13.235294117647058,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_7,227,136,0.5991189427312775,6.756021038433224,12.555555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_4,224,142,0.6339285714285714,6.832008217079659,13.117647058823529,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,226,154,0.6814159292035398,6.993042002207735,10.714285714285714,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_6,214,127,0.5934579439252337,6.670949814027446,11.833333333333334,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_7,221,137,0.6199095022624435,6.710657650435245,13.75,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_5,225,137,0.6088888888888889,6.678422563929763,9.73913043478261,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_8,215,137,0.6372093023255814,6.776324433772933,14.266666666666667,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,232,134,0.5775862068965517,6.65861920915041,11.55,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_3,213,128,0.6009389671361502,6.706190078174379,10.6,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_3,215,138,0.641860465116279,6.815901091397744,11.88888888888889,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_6,208,124,0.5961538461538461,6.557436652229448,12.9375,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_7,212,120,0.5660377358490566,6.479593172500336,10.047619047619047,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_4,223,140,0.6278026905829597,6.801116449693623,13.058823529411764,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_8,222,133,0.5990990990990991,6.7419161645267325,13.8125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,231,131,0.5670995670995671,6.674677249726536,13.529411764705882,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,220,139,0.6318181818181818,6.749100471341988,11.526315789473685,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_5,215,130,0.6046511627906976,6.656293608414799,15.285714285714286,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_5,218,135,0.6192660550458715,6.71082885017133,13.5625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_8,219,126,0.5753424657534246,6.615496363676792,9.909090909090908,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,228,126,0.5526315789473685,6.646076243041213,13.352941176470589,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_4,224,141,0.6294642857142857,6.753001544991095,10.136363636363637,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_6,213,128,0.6009389671361502,6.6537138482734095,11.157894736842104,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,226,153,0.6769911504424779,7.0274421681848045,12.5,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_7,209,126,0.6028708133971292,6.610883801143979,12.235294117647058,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_3,209,124,0.5933014354066986,6.6254146229574475,13.0,16
