model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,myth_game,no_noise,1,0.6142168931353995,0.039771838972648646,40,6.501767017078182,0.1452621200095042,40,13.194911022607423,1.641887746674913,40,203.7,5.9017598418411925,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,2,0.6488677534356195,0.033540255445862546,40,6.634958296420116,0.12433963134396984,40,13.227229926721026,1.6247523697177026,40,203.475,4.4201606885746285,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,3,0.6274215366561162,0.04716116560746027,40,6.631265200629504,0.16469370110435616,40,12.28676210320131,1.6294075440012092,40,206.425,5.900401985436549,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,4,0.6278360327912194,0.042699762066296006,40,6.692247616457907,0.13367288485210757,40,12.10555032502178,1.6101557865134903,40,211.425,6.942575816968724,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,5,0.6331424292890824,0.03149221173238326,40,6.737889040396506,0.10776567165406033,40,12.564858973814545,1.66619966322438,40,213.85,6.0956058153730925,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,6,0.6333951354690076,0.029839109710259885,40,6.74172586286182,0.10155655505732315,40,11.99886923560597,1.7404358759503973,40,214.5,7.23595013519125,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,7,0.6290890373497164,0.0366562519440094,40,6.728307103735103,0.12777572569500623,40,12.311213741796559,1.9975737301369074,40,215.8,6.345602151621756,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,8,0.6368056165440126,0.039732974606015055,40,6.7723733327785425,0.11281716970726646,40,11.664221061639598,1.6341825125275486,40,216.45,7.974156976582506,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,9,0.6204843311206284,0.03754288841305559,40,6.722735877680215,0.12199986747347157,40,11.553189042961682,1.6547549686835623,40,215.7,7.582706370250392,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,10,0.6256183577564856,0.03901201030028597,40,6.754717327958754,0.1208036494721149,40,11.668130435211499,1.9089031797663643,40,217.1,7.509993342207435,40
