model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_6,208,123,0.5913461538461539,6.478990339100079,13.866666666666667,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,208,123,0.5913461538461539,6.530649245735386,13.0,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,208,118,0.5673076923076923,6.487474005392379,14.857142857142858,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_7,196,130,0.6632653061224489,6.665663398252082,16.333333333333332,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_4,214,113,0.5280373831775701,6.214186625579321,11.88888888888889,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_8,205,133,0.6487804878048781,6.610792192924057,14.642857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_5,200,129,0.645,6.636544799675388,12.5,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_3,208,124,0.5961538461538461,6.461680059679112,13.0,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_3,204,133,0.6519607843137255,6.738066470403594,14.5,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_6,201,120,0.5970149253731343,6.487237405275555,15.384615384615385,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_8,202,130,0.6435643564356436,6.578444310181077,15.461538461538462,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_5,201,128,0.6368159203980099,6.628534435862702,11.764705882352942,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_7,196,128,0.6530612244897959,6.689678845075037,13.0,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_4,205,126,0.6146341463414634,6.449283550599785,13.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,200,132,0.66,6.53940422845554,10.473684210526315,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,204,136,0.6666666666666666,6.7481049994470474,13.533333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_8,210,122,0.580952380952381,6.4752391654134005,11.61111111111111,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_3,200,124,0.62,6.6075642849438285,11.055555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,203,133,0.6551724137931034,6.614930083007616,11.882352941176471,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_7,220,127,0.5772727272727273,6.597166018987894,13.6875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,214,132,0.616822429906542,6.664677692507406,11.210526315789474,19
