model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,myth_game,no_noise,1,0.60242964412041,0.03272179049119616,20,6.444873055393626,0.15139088511330548,20,13.736209015657545,1.896829533911286,20,203.7,5.667079448329995,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,2,0.6287329781593167,0.03212987479203945,20,6.5495019550235964,0.13129921945121306,20,13.408177117000648,1.3184525655061492,20,204.3,5.983310120660633,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,3,0.5921520685752297,0.03344232646733996,20,6.50855416226877,0.13568202913157168,20,12.59713495890934,1.86004832152258,20,213.3,7.616464160999478,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,4,0.5953487759074879,0.03645452932894669,20,6.548511341552701,0.14243178366890524,20,11.285507512281892,1.504841648462418,20,218.55,8.172321708380252,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,5,0.5983803880604023,0.0440979249610909,20,6.5961229405337445,0.15139872883250644,20,10.439307105974894,1.3271717900435975,20,220.7,8.627373815209848,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,6,0.6187067248416365,0.042801525623589125,20,6.6769111048980445,0.1350871752201834,20,10.907953806229516,1.2182673958259684,20,222.15,7.005824644349037,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,7,0.6375486787156268,0.0320085492831535,20,6.750793340490451,0.12039337858705632,20,11.698996888356156,1.5553074419944906,20,220.75,8.9376495202804,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,8,0.6384479102320916,0.041262084021331545,20,6.747750346976166,0.13221225891712807,20,12.260187363122213,2.0942180836768207,20,221.45,8.768814359031554,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,9,0.6183515627143643,0.038995800234696364,20,6.708280948965661,0.13752186474346859,20,11.725895289257789,1.2767092433089742,20,222.0,9.920738512408178,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,10,0.6273063310227103,0.04739969141984278,20,6.739667275714543,0.16031551502985925,20,11.822866203766022,1.6668554006008418,20,221.8,7.030759485814346,20
