model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,205,123,0.6,6.480642492915068,12.8125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,204,127,0.6225490196078431,6.5677399220228585,17.0,12
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,208,146,0.7019230769230769,6.86570013261861,14.785714285714286,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,199,116,0.5829145728643216,6.3462940370742125,14.142857142857142,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,202,116,0.5742574257425742,6.379556507121063,14.357142857142858,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,206,122,0.5922330097087378,6.470840338750554,10.789473684210526,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,217,139,0.6405529953917051,6.6970029055871825,12.0,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_1,207,116,0.5603864734299517,6.345299790995401,13.733333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_1,217,133,0.6129032258064516,6.677649306784326,10.8,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_2,206,133,0.6456310679611651,6.630204034980218,10.789473684210526,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,214,131,0.6121495327102804,6.64538506697019,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,211,133,0.6303317535545023,6.63218113491087,10.5,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,213,135,0.6338028169014085,6.703996095580007,12.470588235294118,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,218,123,0.5642201834862385,6.497356578827793,12.764705882352942,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,216,122,0.5648148148148148,6.495506150971262,11.944444444444445,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,223,134,0.600896860986547,6.577996803428352,13.058823529411764,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,206,115,0.558252427184466,6.455179217269969,10.789473684210526,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,220,119,0.5409090909090909,6.4591720321202795,12.166666666666666,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,211,135,0.6398104265402843,6.7736423024596375,11.052631578947368,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,220,135,0.6136363636363636,6.687531105014374,14.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,202,118,0.5841584158415841,6.428345597141599,11.882352941176471,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,203,127,0.625615763546798,6.539830193465694,14.5,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,201,131,0.6517412935323383,6.586032441468888,12.5,16
