condition,round,n_myths,n_tokens_mean,n_types_mean,ttr_mean,entropy_bits_mean,mean_sentence_length_mean,n_sentences_mean,network_community_per_1k_mean,stranger_portability_per_1k_mean,abstract_norm_pattern_per_1k_mean,reputation_history_per_1k_mean,explicit_game_rules_per_1k_mean,named_agent_markers_per_1k_mean
2-agent directive,1,10,204.5,122.0,0.5967334016921211,6.398366616700635,14.18679298642534,14.6,18.643685939032693,3.816210740615511,23.477260888153047,0.4878048780487805,35.74687549688396,0.0
2-agent directive,2,10,205.6,128.5,0.6252065313752093,6.52370015490763,13.737502693385045,15.0,12.15715813293767,2.9754420331096516,30.70109605430225,2.956944067885826,45.50058069572312,0.0
2-agent directive,3,10,216.5,129.1,0.5966973173531189,6.535327387015917,12.61365262704272,17.4,13.390578432665365,5.11572930522099,41.97663532170849,5.52616329239733,56.09655995234583,0.0
2-agent directive,4,10,219.7,131.0,0.5965094266488202,6.558979947439935,11.448997145641883,19.5,16.04278520634083,2.7240786854187657,36.66396593360331,4.964739570580929,50.94793399183908,0.0
2-agent directive,5,10,222.9,134.2,0.6025714409277455,6.6201457630427285,10.712015873015872,21.1,15.774451106857304,2.6080375702720966,29.894133456904758,4.468162249750222,45.51514041611936,0.0
2-agent directive,6,10,222.9,137.5,0.6180728789483363,6.677896972159621,10.86862563941047,20.7,14.376812825301124,5.431669576977153,26.779753905238977,5.055283221801939,48.05435158153406,0.0
2-agent directive,7,10,220.7,141.8,0.6427713164572084,6.761640678157674,11.807463102199945,19.1,13.60620893245714,3.0714947919024307,22.78128812554124,9.39059700334792,28.77351186564249,0.0
2-agent directive,8,10,223.2,145.0,0.6504596730105966,6.78942092769659,13.014069540859822,17.5,10.800179415499779,2.6805289018671856,24.54037690209581,3.2263503034444896,26.346152841355313,0.0
2-agent directive,9,10,222.6,140.3,0.6308941683280238,6.74218243801837,11.922118531623173,18.7,27.860554212870802,1.308227465214761,26.956397109510156,5.028862629437716,32.093127568326466,0.0
2-agent directive,10,10,222.6,137.0,0.6158578545924006,6.68733219291708,12.108250405425327,18.5,17.333973733247067,0.854841361170475,25.48273375601864,3.1949794020028,27.980753340746798,0.0
8-agent anonymous directive,1,40,206.475,125.875,0.6096827372423289,6.4984828000842665,13.65733914820989,15.45,17.641788523801928,3.2243564308422634,26.01811076223252,1.6997522569768175,37.92442461028434,0.0
8-agent anonymous directive,2,40,208.0,133.425,0.6416962789614505,6.613144188463967,13.625997448221716,15.6,15.625753927011505,4.570754955306643,26.805259868242437,3.7106792589189994,36.9766477123491,0.0
8-agent anonymous directive,3,40,212.525,133.25,0.6270777860569391,6.6365076574375665,13.107889260787449,16.625,21.635718837894995,8.780606668234686,37.38831976072979,4.786321894913424,48.83113807818371,0.0
8-agent anonymous directive,4,40,215.925,135.925,0.62958658497634,6.698396837068107,12.66985584784153,17.35,26.406261652697275,13.216703515116384,40.8409855458174,4.6612296069865415,57.46372140191837,0.0
8-agent anonymous directive,5,40,220.225,137.675,0.625407930298078,6.728972978236858,12.623645284791225,17.9,33.29199369801874,19.047950849350222,42.061882796922106,5.456901787284814,69.33829195778898,0.0
8-agent anonymous directive,6,40,222.05,137.525,0.6192812311198694,6.725389672372143,11.93660314897981,19.075,32.73929187189563,18.426684847818642,42.58453077476632,4.580782324076312,76.02674152486962,0.0
8-agent anonymous directive,7,40,222.65,137.65,0.617955514684084,6.725140301440776,11.636501097246704,19.6,32.09019561634923,17.84329683607296,41.910822646619515,3.700236852883978,70.05998137651328,0.0
8-agent anonymous directive,8,40,223.325,136.875,0.6132399061331053,6.713144746280042,11.387631388860239,19.875,31.624369149675676,16.189114561071218,36.63119327607872,4.583156044417542,73.82718193021483,0.0
8-agent anonymous directive,9,40,224.25,139.725,0.6233993618782641,6.743090439139595,11.408965968132714,19.925,30.235904022114926,15.948394545248664,37.69363901848649,3.575490971391603,67.64949803983326,0.0
8-agent anonymous directive,10,40,222.65,138.1,0.6210334724182429,6.729905809463824,10.887893500228925,20.775,27.93580655494601,14.365470701647942,36.619987360227825,4.83086092128557,72.77893859394479,0.0
8-agent named directive,1,40,203.7,125.0,0.6142168931353994,6.5017670170781825,13.194911022607425,15.675,18.56676644612599,4.056336288085773,28.025322356782805,1.4952505579475968,41.73312773268971,1.4773378514637199
8-agent named directive,2,40,203.475,132.0,0.6488677534356195,6.634958296420114,13.227229926721023,15.525,18.751805720825935,4.430794802453612,29.00120448381721,4.531769178226616,39.78207948678066,5.775579079542688
8-agent named directive,3,40,206.425,129.425,0.6274215366561162,6.631265200629504,12.286762103201312,16.975,21.224313231502908,6.768647444087729,37.87901690340691,6.677096813983333,52.51443688196963,12.89694123415195
8-agent named directive,4,40,211.425,132.625,0.6278360327912192,6.692247616457908,12.105550325021781,17.675,24.454956744795947,8.317525243910127,40.223031592372514,6.949181951787489,54.81433654699548,15.188164470819169
8-agent named directive,5,40,213.85,135.325,0.6331424292890824,6.7378890403965075,12.564858973814543,17.25,28.47002645987551,9.023845333110184,41.684264077666214,6.566547350539558,64.04174181638766,14.981998288611091
