artifact,path
_balance_comparison/claude-sonnet-4.5/balance_comparison.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/_balance_comparison/claude-sonnet-4.5/balance_comparison.png
_balance_comparison/claude-sonnet-4.5/delta_comparison.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/_balance_comparison/claude-sonnet-4.5/delta_comparison.png
_balance_comparison/claude-sonnet-4.5/deltas.csv,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/_balance_comparison/claude-sonnet-4.5/deltas.csv
plot_index.csv,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/plot_index.csv
run_metrics.csv,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/run_metrics.csv
summary_by_condition.csv,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/summary_by_condition.csv
trajectory_plotting/trajectory_plotting_individual_overlay.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting/trajectory_plotting_individual_overlay.png
trajectory_plotting/trajectory_plotting_summary.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting/trajectory_plotting_summary.png
trajectory_plotting/trajectory_points.csv,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting/trajectory_points.csv
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_000_neutral_rep00/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_000_neutral_rep00/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_001_neutral_rep01/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_001_neutral_rep01/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_002_neutral_rep02/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_002_neutral_rep02/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_003_neutral_rep03/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_003_neutral_rep03/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_004_neutral_rep04/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_004_neutral_rep04/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_000_neutral_rep00/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_000_neutral_rep00/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_001_neutral_rep01/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_001_neutral_rep01/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_002_neutral_rep02/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_002_neutral_rep02/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_003_neutral_rep03/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_003_neutral_rep03/trajectory_1_numerical.png
trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_004_neutral_rep04/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/game_only/myth_causal_confirm_claude_fixed_prompt_topup_004_neutral_rep04/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_005_neutral_rep00_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_005_neutral_rep00_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_006_neutral_rep01_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_006_neutral_rep01_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_007_neutral_rep02_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_007_neutral_rep02_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_008_neutral_rep03_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_008_neutral_rep03_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_009_neutral_rep04_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_009_neutral_rep04_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_005_neutral_rep00_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_005_neutral_rep00_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_006_neutral_rep01_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_006_neutral_rep01_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_007_neutral_rep02_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_007_neutral_rep02_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_008_neutral_rep03_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_008_neutral_rep03_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_009_neutral_rep04_myth_control_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_control/myth_causal_confirm_claude_fixed_prompt_topup_009_neutral_rep04_myth_control_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_010_neutral_rep00_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_010_neutral_rep00_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_011_neutral_rep01_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_011_neutral_rep01_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_012_neutral_rep02_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_012_neutral_rep02_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_013_neutral_rep03_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_013_neutral_rep03_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_014_neutral_rep04_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_014_neutral_rep04_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_010_neutral_rep00_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_010_neutral_rep00_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_011_neutral_rep01_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_011_neutral_rep01_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_012_neutral_rep02_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_012_neutral_rep02_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_013_neutral_rep03_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_013_neutral_rep03_myth_game_directive_anything/trajectory_1_numerical.png
trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_014_neutral_rep04_myth_game_directive_anything/trajectory_1_numerical.png,data/plots/myth_causal_confirm_claude_fixed_prompt_combined/trajectory_plotting_individual/myth_game_directive/myth_causal_confirm_claude_fixed_prompt_topup_014_neutral_rep04_myth_game_directive_anything/trajectory_1_numerical.png
