batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
myth_causal_confirm_claude_fixed_prompt,game_only,Game Only,0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_000_neutral_rep00.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,game_only,Game Only,1,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_001_neutral_rep01.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,game_only,Game Only,2,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_002_neutral_rep02.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,game_only,Game Only,3,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_003_neutral_rep03.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,game_only,Game Only,4,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_004_neutral_rep04.json,3.75,5.125,0.45486111111111105,50.0,50.0,50.0,100.0,True,False
myth_causal_confirm_claude_fixed_prompt,myth_control,Myth Control,0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_005_neutral_rep00_myth_control_anything.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,myth_control,Myth Control,1,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_006_neutral_rep01_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,myth_control,Myth Control,2,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_007_neutral_rep02_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,myth_control,Myth Control,3,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_008_neutral_rep03_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,myth_control,Myth Control,4,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_009_neutral_rep04_myth_control_anything.json,4.375,7.75,0.5817956349206349,53.0,57.0,55.0,110.0,True,True
myth_causal_confirm_claude_fixed_prompt,myth_game_directive,Myth-Game Directive,0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_010_neutral_rep00_myth_game_directive_anything.json,4.0,7.875,0.65625,51.0,53.0,52.0,104.0,True,True
myth_causal_confirm_claude_fixed_prompt,myth_game_directive,Myth-Game Directive,1,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_011_neutral_rep01_myth_game_directive_anything.json,4.0,6.0,0.5,52.0,52.0,52.0,104.0,True,False
myth_causal_confirm_claude_fixed_prompt,myth_game_directive,Myth-Game Directive,2,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_012_neutral_rep02_myth_game_directive_anything.json,4.625,9.75,0.6923611111111111,57.0,57.0,57.0,114.0,True,True
