run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
0,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
0,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
0,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
0,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
0,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
0,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
0,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
1,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
1,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
1,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
1,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
1,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
1,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
1,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
1,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
2,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
2,game_only,Game Only,2,3.0,5.0,9.0,0.5555555555555556,11.0
2,game_only,Game Only,3,3.0,5.0,9.0,0.5555555555555556,16.5
2,game_only,Game Only,4,3.0,5.0,9.0,0.5555555555555556,22.0
2,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
2,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
2,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
2,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
3,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
3,game_only,Game Only,2,3.0,5.0,9.0,0.5555555555555556,11.0
3,game_only,Game Only,3,3.0,5.0,9.0,0.5555555555555556,16.5
3,game_only,Game Only,4,3.0,5.0,9.0,0.5555555555555556,22.0
3,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
3,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
3,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
3,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
4,game_only,Game Only,1,3.0,4.0,9.0,0.4444444444444444,5.5
4,game_only,Game Only,2,3.0,4.0,9.0,0.4444444444444444,11.0
4,game_only,Game Only,3,4.0,5.5,12.0,0.4583333333333333,17.5
4,game_only,Game Only,4,4.0,5.5,12.0,0.4583333333333333,24.0
4,game_only,Game Only,5,4.0,5.5,12.0,0.4583333333333333,30.5
4,game_only,Game Only,6,4.0,5.5,12.0,0.4583333333333333,37.0
4,game_only,Game Only,7,4.0,5.5,12.0,0.4583333333333333,43.5
4,game_only,Game Only,8,4.0,5.5,12.0,0.4583333333333333,50.0
5,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
5,myth_control,Myth Control,2,3.0,4.5,9.0,0.5,11.0
5,myth_control,Myth Control,3,3.0,4.5,9.0,0.5,16.5
5,myth_control,Myth Control,4,3.0,4.5,9.0,0.5,22.0
5,myth_control,Myth Control,5,3.0,4.5,9.0,0.5,27.5
5,myth_control,Myth Control,6,3.0,4.5,9.0,0.5,33.0
5,myth_control,Myth Control,7,3.0,4.5,9.0,0.5,38.5
5,myth_control,Myth Control,8,3.0,4.5,9.0,0.5,44.0
6,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
6,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
6,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
6,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
6,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
6,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
6,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
6,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
7,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
7,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
7,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
7,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
7,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
7,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
7,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
7,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
8,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
8,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
8,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
8,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
8,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
8,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
8,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
8,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
9,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
9,myth_control,Myth Control,2,3.5,5.5,10.5,0.5238095238095238,11.5
9,myth_control,Myth Control,3,4.0,6.5,12.0,0.5416666666666666,18.0
9,myth_control,Myth Control,4,4.5,7.5,13.5,0.5555555555555556,25.0
9,myth_control,Myth Control,5,5.0,8.0,15.0,0.5333333333333333,32.5
9,myth_control,Myth Control,6,5.0,9.0,15.0,0.6,40.0
9,myth_control,Myth Control,7,5.0,10.0,15.0,0.6666666666666666,47.5
9,myth_control,Myth Control,8,5.0,11.0,15.0,0.7333333333333333,55.0
10,myth_game_directive,Myth-Game Directive,1,4.0,7.0,12.0,0.5833333333333334,6.5
10,myth_game_directive,Myth-Game Directive,2,4.0,8.0,12.0,0.6666666666666666,13.0
10,myth_game_directive,Myth-Game Directive,3,4.0,8.0,12.0,0.6666666666666666,19.5
10,myth_game_directive,Myth-Game Directive,4,4.0,8.0,12.0,0.6666666666666666,26.0
10,myth_game_directive,Myth-Game Directive,5,4.0,8.0,12.0,0.6666666666666666,32.5
10,myth_game_directive,Myth-Game Directive,6,4.0,8.0,12.0,0.6666666666666666,39.0
10,myth_game_directive,Myth-Game Directive,7,4.0,8.0,12.0,0.6666666666666666,45.5
10,myth_game_directive,Myth-Game Directive,8,4.0,8.0,12.0,0.6666666666666666,52.0
11,myth_game_directive,Myth-Game Directive,1,4.0,6.0,12.0,0.5,6.5
11,myth_game_directive,Myth-Game Directive,2,4.0,6.0,12.0,0.5,13.0
11,myth_game_directive,Myth-Game Directive,3,4.0,6.0,12.0,0.5,19.5
11,myth_game_directive,Myth-Game Directive,4,4.0,6.0,12.0,0.5,26.0
11,myth_game_directive,Myth-Game Directive,5,4.0,6.0,12.0,0.5,32.5
11,myth_game_directive,Myth-Game Directive,6,4.0,6.0,12.0,0.5,39.0
11,myth_game_directive,Myth-Game Directive,7,4.0,6.0,12.0,0.5,45.5
11,myth_game_directive,Myth-Game Directive,8,4.0,6.0,12.0,0.5,52.0
12,myth_game_directive,Myth-Game Directive,1,3.0,5.0,9.0,0.5555555555555556,5.5
12,myth_game_directive,Myth-Game Directive,2,4.0,7.0,12.0,0.5833333333333334,12.0
12,myth_game_directive,Myth-Game Directive,3,5.0,10.0,15.0,0.6666666666666666,19.5
12,myth_game_directive,Myth-Game Directive,4,5.0,10.0,15.0,0.6666666666666666,27.0
12,myth_game_directive,Myth-Game Directive,5,5.0,11.0,15.0,0.7333333333333333,34.5
12,myth_game_directive,Myth-Game Directive,6,5.0,11.0,15.0,0.7333333333333333,42.0
12,myth_game_directive,Myth-Game Directive,7,5.0,12.0,15.0,0.8,49.5
