Prompt Condition,condition,mean_balance_r10,replicate,path,source
Game Only,No Noise,75.0,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_000_neutral_rep00.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,55.0,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_000_neutral_rep00_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,55.0,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_001_neutral_rep01.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,65.0,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_001_neutral_rep01_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,65.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_002_neutral_rep02.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,65.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_002_neutral_rep02_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,65.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_003_neutral_rep03.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,55.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_003_neutral_rep03_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,55.0,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_004_neutral_rep04.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,No Noise,75.0,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_004_neutral_rep04_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_007_neutral_rep02_myth_control_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,55.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_007_neutral_rep02_myth_control_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_008_neutral_rep03_myth_control_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth Control,No Noise,65.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_008_neutral_rep03_myth_control_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
