batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
myth_causal_neutral_directive_claude_r10_n5,game_only,Game Only,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_000_neutral_rep00.json,5.0,7.5,0.5,75.0,75.0,75.0,150.0,True,True
myth_causal_neutral_directive_claude_r10_n5,game_only,Game Only,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_001_neutral_rep01.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_neutral_directive_claude_r10_n5,game_only,Game Only,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_002_neutral_rep02.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,game_only,Game Only,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_003_neutral_rep03.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,game_only,Game Only,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_neutral_directive_claude_r10_n5_004_neutral_rep04.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
myth_causal_neutral_directive_claude_r10_n5,myth_control,Myth Control,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,myth_control,Myth Control,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_006_neutral_rep01_myth_control_anything.json,4.0,7.0,0.5833333333333333,65.0,65.0,65.0,130.0,True,True
myth_causal_neutral_directive_claude_r10_n5,myth_control,Myth Control,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_007_neutral_rep02_myth_control_anything.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,myth_control,Myth Control,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_008_neutral_rep03_myth_control_anything.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,myth_control,Myth Control,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_009_neutral_rep04_myth_control_anything.json,3.0,4.0,0.4444444444444445,55.0,55.0,55.0,110.0,False,False
myth_causal_neutral_directive_claude_r10_n5,myth_game_directive,Myth-Game Directive,0,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_neutral_directive_claude_r10_n5,myth_game_directive,Myth-Game Directive,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_neutral_directive_claude_r10_n5,myth_game_directive,Myth-Game Directive,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,myth_game_directive,Myth-Game Directive,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_neutral_directive_claude_r10_n5,myth_game_directive,Myth-Game Directive,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
