run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
0,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
0,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
0,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
0,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
1,game_only,Game Only,1,5.0,7.5,15.0,0.5,7.5
1,game_only,Game Only,2,5.0,7.5,15.0,0.5,15.0
1,game_only,Game Only,3,5.0,7.5,15.0,0.5,22.5
1,game_only,Game Only,4,5.0,7.5,15.0,0.5,30.0
1,game_only,Game Only,5,5.0,7.5,15.0,0.5,37.5
2,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
2,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
2,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
2,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
2,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
3,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
3,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
3,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
3,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
3,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
4,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
4,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
4,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
4,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
4,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
5,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
5,myth_control,Myth Control,2,3.0,4.5,9.0,0.5,11.0
5,myth_control,Myth Control,3,3.0,4.5,9.0,0.5,16.5
5,myth_control,Myth Control,4,3.0,4.5,9.0,0.5,22.0
5,myth_control,Myth Control,5,3.0,4.5,9.0,0.5,27.5
6,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
6,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
6,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
6,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
6,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
7,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
7,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
7,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
7,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
7,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
8,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
8,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
8,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
8,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
8,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
9,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
9,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
9,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
9,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
9,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
10,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
10,myth_game_directive,Myth-Game Directive,2,3.0,4.5,9.0,0.5,11.0
10,myth_game_directive,Myth-Game Directive,3,3.0,4.5,9.0,0.5,16.5
10,myth_game_directive,Myth-Game Directive,4,3.0,4.5,9.0,0.5,22.0
10,myth_game_directive,Myth-Game Directive,5,3.0,4.5,9.0,0.5,27.5
11,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
11,myth_game_directive,Myth-Game Directive,2,3.0,4.5,9.0,0.5,11.0
11,myth_game_directive,Myth-Game Directive,3,3.0,4.5,9.0,0.5,16.5
11,myth_game_directive,Myth-Game Directive,4,3.0,4.5,9.0,0.5,22.0
11,myth_game_directive,Myth-Game Directive,5,3.0,4.5,9.0,0.5,27.5
12,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
12,myth_game_directive,Myth-Game Directive,2,3.5,6.0,10.5,0.5714285714285714,11.5
12,myth_game_directive,Myth-Game Directive,3,4.0,7.0,12.0,0.5833333333333334,18.0
12,myth_game_directive,Myth-Game Directive,4,4.5,9.0,13.5,0.6666666666666666,25.0
12,myth_game_directive,Myth-Game Directive,5,5.0,10.5,15.0,0.7,32.5
13,myth_game_directive,Myth-Game Directive,1,5.0,7.5,15.0,0.5,7.5
13,myth_game_directive,Myth-Game Directive,2,5.0,7.5,15.0,0.5,15.0
13,myth_game_directive,Myth-Game Directive,3,5.0,7.5,15.0,0.5,22.5
13,myth_game_directive,Myth-Game Directive,4,5.0,7.5,15.0,0.5,30.0
13,myth_game_directive,Myth-Game Directive,5,5.0,7.5,15.0,0.5,37.5
14,myth_game_directive,Myth-Game Directive,1,5.0,8.0,15.0,0.5333333333333333,7.5
14,myth_game_directive,Myth-Game Directive,2,5.0,8.0,15.0,0.5333333333333333,15.0
14,myth_game_directive,Myth-Game Directive,3,5.0,8.0,15.0,0.5333333333333333,22.5
14,myth_game_directive,Myth-Game Directive,4,5.0,8.0,15.0,0.5333333333333333,30.0
14,myth_game_directive,Myth-Game Directive,5,5.0,8.0,15.0,0.5333333333333333,37.5
