run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,1.6,9.0,0.17777777777777778,5.5
0,game_only,Game Only,2,2.0,2.25,6.0,0.375,10.0
0,game_only,Game Only,3,2.0,0.8,6.0,0.13333333333333333,14.5
0,game_only,Game Only,4,1.5,1.35,4.5,0.30000000000000004,18.5
0,game_only,Game Only,5,1.5,0.25,4.5,0.05555555555555555,22.5
0,game_only,Game Only,6,0.75,0.0,2.25,0.0,25.75
0,game_only,Game Only,7,0.0,0.0,0.0,,28.25
0,game_only,Game Only,8,0.0,0.0,0.0,,30.75
0,game_only,Game Only,9,0.0,0.0,0.0,,33.25
0,game_only,Game Only,10,0.0,0.0,0.0,,35.75
1,game_only,Game Only,1,3.0,1.5,9.0,0.16666666666666666,5.5
1,game_only,Game Only,2,1.5,1.0,4.5,0.2222222222222222,9.5
1,game_only,Game Only,3,2.0,1.0,6.0,0.16666666666666666,14.0
1,game_only,Game Only,4,1.0,0.0,3.0,0.0,17.5
1,game_only,Game Only,5,1.0,0.5,3.0,0.16666666666666666,21.0
1,game_only,Game Only,6,0.5,0.0,1.5,0.0,24.0
1,game_only,Game Only,7,0.0,0.0,0.0,,26.5
1,game_only,Game Only,8,0.0,0.0,0.0,,29.0
1,game_only,Game Only,9,0.0,0.0,0.0,,31.5
1,game_only,Game Only,10,0.0,0.0,0.0,,34.0
2,game_only,Game Only,1,3.0,1.5,9.0,0.16666666666666666,5.5
2,game_only,Game Only,2,1.75,0.2,5.25,0.0380952380952381,9.75
2,game_only,Game Only,3,1.5,1.0,4.5,0.2222222222222222,13.75
2,game_only,Game Only,4,1.0,0.0,3.0,0.0,17.25
2,game_only,Game Only,5,0.0,0.0,0.0,,19.75
2,game_only,Game Only,6,0.0,0.0,0.0,,22.25
2,game_only,Game Only,7,1.0,0.5,3.0,0.16666666666666666,25.75
2,game_only,Game Only,8,0.75,0.45,2.25,0.2,29.0
2,game_only,Game Only,9,1.0,0.0,3.0,0.0,32.5
2,game_only,Game Only,10,0.0,0.0,0.0,,35.0
3,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
3,game_only,Game Only,2,2.5,1.0,7.5,0.13333333333333333,10.5
3,game_only,Game Only,3,2.5,1.3,7.5,0.17333333333333334,15.5
3,game_only,Game Only,4,1.75,0.25,5.25,0.047619047619047616,19.75
3,game_only,Game Only,5,1.0,0.0,3.0,0.0,23.25
3,game_only,Game Only,6,1.0,0.0,3.0,0.0,26.75
3,game_only,Game Only,7,0.0,0.0,0.0,,29.25
3,game_only,Game Only,8,0.0,0.0,0.0,,31.75
3,game_only,Game Only,9,0.0,0.0,0.0,,34.25
3,game_only,Game Only,10,0.0,0.0,0.0,,36.75
4,game_only,Game Only,1,3.0,3.6,9.0,0.4,5.5
4,game_only,Game Only,2,2.4,2.0,7.199999999999999,0.2777777777777778,10.399999999999999
4,game_only,Game Only,3,3.0,4.0,9.0,0.4444444444444444,15.899999999999999
4,game_only,Game Only,4,2.7,2.8,8.100000000000001,0.34567901234567894,21.1
4,game_only,Game Only,5,3.0,3.0,9.0,0.3333333333333333,26.6
4,game_only,Game Only,6,2.0,0.5,6.0,0.08333333333333333,31.099999999999998
4,game_only,Game Only,7,2.5,2.5,7.5,0.3333333333333333,36.099999999999994
4,game_only,Game Only,8,1.0,0.95,3.0,0.31666666666666665,39.599999999999994
4,game_only,Game Only,9,2.5,2.8,7.5,0.3733333333333333,44.599999999999994
4,game_only,Game Only,10,1.5,0.57,4.5,0.12666666666666665,48.599999999999994
5,game_only,Game Only,1,3.0,3.5,9.0,0.3888888888888889,5.5
5,game_only,Game Only,2,2.5,2.5,7.5,0.3333333333333333,10.5
5,game_only,Game Only,3,2.75,2.8,8.25,0.33939393939393936,15.75
5,game_only,Game Only,4,2.0,0.1,6.0,0.016666666666666666,20.25
5,game_only,Game Only,5,2.5,3.0,7.5,0.4,25.25
5,game_only,Game Only,6,1.0,0.0,3.0,0.0,28.75
5,game_only,Game Only,7,1.0,0.3,3.0,0.09999999999999999,32.25
5,game_only,Game Only,8,0.0,0.0,0.0,,34.75
5,game_only,Game Only,9,0.0,0.0,0.0,,37.25
5,game_only,Game Only,10,0.0,0.0,0.0,,39.75
6,game_only,Game Only,1,3.0,2.5,9.0,0.2777777777777778,5.5
6,game_only,Game Only,2,2.0,2.5,6.0,0.4166666666666667,10.0
6,game_only,Game Only,3,2.5,1.85,7.5,0.24666666666666667,15.0
6,game_only,Game Only,4,1.75,0.8,5.25,0.1523809523809524,19.25
6,game_only,Game Only,5,1.0,0.0,3.0,0.0,22.75
6,game_only,Game Only,6,1.0,0.9,3.0,0.3,26.25
6,game_only,Game Only,7,0.0,0.0,0.0,,28.75
6,game_only,Game Only,8,0.0,0.0,0.0,,31.25
6,game_only,Game Only,9,0.0,0.0,0.0,,33.75
6,game_only,Game Only,10,0.0,0.0,0.0,,36.25
7,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
7,game_only,Game Only,2,2.5,2.8,7.5,0.3733333333333333,10.5
7,game_only,Game Only,3,2.5,3.0,7.5,0.4,15.5
7,game_only,Game Only,4,2.5,2.4,7.5,0.32,20.5
7,game_only,Game Only,5,2.0,0.6,6.0,0.09999999999999999,25.0
7,game_only,Game Only,6,2.5,0.5,7.5,0.06666666666666667,30.0
7,game_only,Game Only,7,0.0,0.0,0.0,,32.5
7,game_only,Game Only,8,1.0,0.0,3.0,0.0,36.0
7,game_only,Game Only,9,0.0,0.0,0.0,,38.5
7,game_only,Game Only,10,0.0,0.0,0.0,,41.0
8,game_only,Game Only,1,4.0,4.0,12.0,0.3333333333333333,6.5
8,game_only,Game Only,2,3.0,3.0,9.0,0.3333333333333333,12.0
8,game_only,Game Only,3,3.0,2.2,9.0,0.24444444444444446,17.5
8,game_only,Game Only,4,2.0,1.0,6.0,0.16666666666666666,22.0
