run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,4.0,6.0,12.0,0.5,6.5
0,game_only,Game Only,2,3.75,3.25,11.25,0.28888888888888886,12.75
0,game_only,Game Only,3,3.5,4.5,10.5,0.42857142857142855,18.75
0,game_only,Game Only,4,2.75,3.06,8.25,0.3709090909090909,24.0
0,game_only,Game Only,5,3.0,2.25,9.0,0.25,29.5
0,game_only,Game Only,6,2.5,0.87,7.5,0.116,34.5
0,game_only,Game Only,7,1.0,1.0,3.0,0.3333333333333333,38.0
0,game_only,Game Only,8,1.0,0.0,3.0,0.0,41.5
1,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
1,game_only,Game Only,2,2.0,2.0,6.0,0.3333333333333333,10.0
1,game_only,Game Only,3,2.5,1.8,7.5,0.24000000000000002,15.0
1,game_only,Game Only,4,1.5,1.2,4.5,0.26666666666666666,19.0
1,game_only,Game Only,5,1.5,1.6,4.5,0.35555555555555557,23.0
1,game_only,Game Only,6,1.0,0.6,3.0,0.19999999999999998,26.5
1,game_only,Game Only,7,1.0,0.75,3.0,0.25,30.0
1,game_only,Game Only,8,0.5,0.0,1.5,0.0,33.0
2,game_only,Game Only,1,3.0,1.86,9.0,0.20666666666666667,5.5
2,game_only,Game Only,2,3.0,2.0,9.0,0.2222222222222222,11.0
2,game_only,Game Only,3,2.5,0.75,7.5,0.1,16.0
2,game_only,Game Only,4,2.0,2.0,6.0,0.3333333333333333,20.5
2,game_only,Game Only,5,1.5,0.0,4.5,0.0,24.5
2,game_only,Game Only,6,0.0,0.0,0.0,,27.0
2,game_only,Game Only,7,0.0,0.0,0.0,,29.5
2,game_only,Game Only,8,0.0,0.0,0.0,,32.0
3,myth_control,Myth Control,1,3.0,3.85,9.0,0.4277777777777778,5.5
3,myth_control,Myth Control,2,2.5,2.4,7.5,0.32,10.5
3,myth_control,Myth Control,3,2.5,1.75,7.5,0.23333333333333334,15.5
3,myth_control,Myth Control,4,2.75,1.0,8.25,0.12121212121212122,20.75
3,myth_control,Myth Control,5,2.0,0.5,6.0,0.08333333333333333,25.25
3,myth_control,Myth Control,6,1.75,0.3,5.25,0.05714285714285714,29.5
3,myth_control,Myth Control,7,1.0,0.55,3.0,0.18333333333333335,33.0
3,myth_control,Myth Control,8,2.5,2.0,7.5,0.26666666666666666,38.0
4,myth_control,Myth Control,1,3.0,2.5,9.0,0.2777777777777778,5.5
4,myth_control,Myth Control,2,2.5,2.7,7.5,0.36000000000000004,10.5
4,myth_control,Myth Control,3,2.5,2.5,7.5,0.3333333333333333,15.5
4,myth_control,Myth Control,4,2.25,1.0,6.75,0.14814814814814814,20.25
4,myth_control,Myth Control,5,1.5,0.14,4.5,0.031111111111111114,24.25
4,myth_control,Myth Control,6,1.0,0.0,3.0,0.0,27.75
4,myth_control,Myth Control,7,0.0,0.0,0.0,,30.25
4,myth_control,Myth Control,8,0.0,0.0,0.0,,32.75
5,myth_control,Myth Control,1,3.0,3.8,9.0,0.4222222222222222,5.5
5,myth_control,Myth Control,2,2.5,2.25,7.5,0.3,10.5
5,myth_control,Myth Control,3,2.5,1.8,7.5,0.24000000000000002,15.5
5,myth_control,Myth Control,4,2.5,1.32,7.5,0.17600000000000002,20.5
5,myth_control,Myth Control,5,2.0,2.25,6.0,0.375,25.0
5,myth_control,Myth Control,6,2.0,2.94,6.0,0.49,29.5
5,myth_control,Myth Control,7,2.5,0.5,7.5,0.06666666666666667,34.5
5,myth_control,Myth Control,8,1.0,0.75,3.0,0.25,38.0
6,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
6,myth_game_directive,Myth-Game Directive,2,3.0,3.0,9.0,0.3333333333333333,11.0
6,myth_game_directive,Myth-Game Directive,3,3.5,3.75,10.5,0.35714285714285715,17.0
6,myth_game_directive,Myth-Game Directive,4,2.5,2.0,7.5,0.26666666666666666,22.0
