run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,3.25,9.0,0.3611111111111111,5.5
0,game_only,Game Only,2,2.25,2.0,6.75,0.2962962962962963,10.25
0,game_only,Game Only,3,2.5,1.5,7.5,0.2,15.25
0,game_only,Game Only,4,1.75,0.4,5.25,0.0761904761904762,19.5
0,game_only,Game Only,5,2.0,1.0,6.0,0.16666666666666666,24.0
0,game_only,Game Only,6,1.0,0.02,3.0,0.006666666666666667,27.5
0,game_only,Game Only,7,1.0,0.0,3.0,0.0,31.0
0,game_only,Game Only,8,0.0,0.0,0.0,,33.5
0,game_only,Game Only,9,0.5,0.0,1.5,0.0,36.5
0,game_only,Game Only,10,0.0,0.0,0.0,,39.0
1,game_only,Game Only,1,3.0,4.0,9.0,0.4444444444444444,5.5
1,game_only,Game Only,2,3.0,1.5,9.0,0.16666666666666666,11.0
1,game_only,Game Only,3,2.5,3.5,7.5,0.4666666666666667,16.0
1,game_only,Game Only,4,2.5,3.5,7.5,0.4666666666666667,21.0
1,game_only,Game Only,5,3.0,1.8,9.0,0.2,26.5
1,game_only,Game Only,6,2.25,2.2,6.75,0.32592592592592595,31.25
1,game_only,Game Only,7,2.5,1.8,7.5,0.24000000000000002,36.25
1,game_only,Game Only,8,2.0,0.45,6.0,0.075,40.75
1,game_only,Game Only,9,1.5,1.0,4.5,0.2222222222222222,44.75
1,game_only,Game Only,10,1.0,0.0,3.0,0.0,48.25
2,game_only,Game Only,1,3.0,3.5,9.0,0.3888888888888889,5.5
2,game_only,Game Only,2,2.5,2.1,7.5,0.28,10.5
2,game_only,Game Only,3,3.0,3.0,9.0,0.3333333333333333,16.0
2,game_only,Game Only,4,2.0,2.2,6.0,0.3666666666666667,20.5
2,game_only,Game Only,5,2.5,2.5,7.5,0.3333333333333333,25.5
2,game_only,Game Only,6,1.0,0.2,3.0,0.06666666666666667,29.0
2,game_only,Game Only,7,1.0,1.3,3.0,0.43333333333333335,32.5
2,game_only,Game Only,8,0.0,0.0,0.0,,35.0
2,game_only,Game Only,9,0.0,0.0,0.0,,37.5
2,game_only,Game Only,10,0.0,0.0,0.0,,40.0
