run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,0.0,9.0,0.0,5.5
0,game_only,Game Only,2,3.0,0.0,9.0,0.0,11.0
0,game_only,Game Only,3,1.0,0.0,3.0,0.0,14.5
0,game_only,Game Only,4,2.0,0.75,6.0,0.125,19.0
0,game_only,Game Only,5,2.0,2.64,6.0,0.44,23.5
0,game_only,Game Only,6,3.0,1.89,9.0,0.21,29.0
0,game_only,Game Only,7,1.0,1.24,3.0,0.41333333333333333,32.5
0,game_only,Game Only,8,2.0,0.0,6.0,0.0,37.0
1,game_only,Game Only,1,3.0,4.0,9.0,0.4444444444444444,5.5
1,game_only,Game Only,2,3.0,0.5,9.0,0.05555555555555555,11.0
1,game_only,Game Only,3,2.5,1.5,7.5,0.2,16.0
1,game_only,Game Only,4,2.5,0.0,7.5,0.0,21.0
1,game_only,Game Only,5,1.5,0.7,4.5,0.15555555555555556,25.0
1,game_only,Game Only,6,0.75,0.0,2.25,0.0,28.25
1,game_only,Game Only,7,0.0,0.0,0.0,,30.75
1,game_only,Game Only,8,0.0,0.0,0.0,,33.25
2,game_only,Game Only,1,3.0,0.0,9.0,0.0,5.5
2,game_only,Game Only,2,3.0,0.0,9.0,0.0,11.0
2,game_only,Game Only,3,1.0,0.0,3.0,0.0,14.5
2,game_only,Game Only,4,0.0,0.0,0.0,,17.0
2,game_only,Game Only,5,0.0,0.0,0.0,,19.5
2,game_only,Game Only,6,0.0,0.0,0.0,,22.0
2,game_only,Game Only,7,0.0,0.0,0.0,,24.5
2,game_only,Game Only,8,0.0,0.0,0.0,,27.0
3,myth_control,Myth Control,1,3.0,0.0,9.0,0.0,5.5
3,myth_control,Myth Control,2,3.0,4.0,9.0,0.4444444444444444,11.0
3,myth_control,Myth Control,3,2.5,0.0,7.5,0.0,16.0
3,myth_control,Myth Control,4,0.0,0.0,0.0,,18.5
3,myth_control,Myth Control,5,0.0,0.0,0.0,,21.0
3,myth_control,Myth Control,6,0.0,0.0,0.0,,23.5
3,myth_control,Myth Control,7,2.5,0.0,7.5,0.0,28.5
3,myth_control,Myth Control,8,0.0,0.0,0.0,,31.0
4,myth_control,Myth Control,1,3.0,0.0,9.0,0.0,5.5
4,myth_control,Myth Control,2,2.0,0.0,6.0,0.0,10.0
4,myth_control,Myth Control,3,0.0,0.0,0.0,,12.5
4,myth_control,Myth Control,4,1.0,0.0,3.0,0.0,16.0
4,myth_control,Myth Control,5,1.0,0.0,3.0,0.0,19.5
4,myth_control,Myth Control,6,0.0,0.0,0.0,,22.0
4,myth_control,Myth Control,7,1.0,0.22,3.0,0.07333333333333333,25.5
4,myth_control,Myth Control,8,1.0,1.0,3.0,0.3333333333333333,29.0
5,myth_control,Myth Control,1,3.0,0.5,9.0,0.05555555555555555,5.5
5,myth_control,Myth Control,2,2.0,1.5,6.0,0.25,10.0
5,myth_control,Myth Control,3,2.0,2.5,6.0,0.4166666666666667,14.5
5,myth_control,Myth Control,4,1.5,0.5,4.5,0.1111111111111111,18.5
5,myth_control,Myth Control,5,1.0,0.0,3.0,0.0,22.0
5,myth_control,Myth Control,6,2.5,3.0,7.5,0.4,27.0
5,myth_control,Myth Control,7,2.0,1.6,6.0,0.26666666666666666,31.5
5,myth_control,Myth Control,8,2.0,0.0,6.0,0.0,36.0
6,myth_game_directive,Myth-Game Directive,1,5.0,3.0,15.0,0.2,7.5
6,myth_game_directive,Myth-Game Directive,2,2.5,3.0,7.5,0.4,12.5
6,myth_game_directive,Myth-Game Directive,3,3.0,0.0,9.0,0.0,18.0
6,myth_game_directive,Myth-Game Directive,4,0.0,0.0,0.0,,20.5
6,myth_game_directive,Myth-Game Directive,5,1.0,0.0,3.0,0.0,24.0
6,myth_game_directive,Myth-Game Directive,6,0.0,0.0,0.0,,26.5
6,myth_game_directive,Myth-Game Directive,7,0.0,0.0,0.0,,29.0
6,myth_game_directive,Myth-Game Directive,8,0.0,0.0,0.0,,31.5
7,myth_game_directive,Myth-Game Directive,1,3.0,0.0,9.0,0.0,5.5
7,myth_game_directive,Myth-Game Directive,2,2.0,0.0,6.0,0.0,10.0
7,myth_game_directive,Myth-Game Directive,3,0.0,0.0,0.0,,12.5
7,myth_game_directive,Myth-Game Directive,4,0.0,0.0,0.0,,15.0
7,myth_game_directive,Myth-Game Directive,5,0.0,0.0,0.0,,17.5
7,myth_game_directive,Myth-Game Directive,6,0.0,0.0,0.0,,20.0
7,myth_game_directive,Myth-Game Directive,7,3.0,3.5,9.0,0.3888888888888889,25.5
7,myth_game_directive,Myth-Game Directive,8,2.75,3.3,8.25,0.39999999999999997,30.75
8,myth_game_directive,Myth-Game Directive,1,3.0,0.0,9.0,0.0,5.5
8,myth_game_directive,Myth-Game Directive,2,2.0,3.0,6.0,0.5,10.0
8,myth_game_directive,Myth-Game Directive,3,2.5,2.5,7.5,0.3333333333333333,15.0
8,myth_game_directive,Myth-Game Directive,4,2.25,2.0,6.75,0.2962962962962963,19.75
8,myth_game_directive,Myth-Game Directive,5,1.5,1.5,4.5,0.3333333333333333,23.75
8,myth_game_directive,Myth-Game Directive,6,1.75,0.48,5.25,0.09142857142857143,28.0
8,myth_game_directive,Myth-Game Directive,7,2.0,0.8,6.0,0.13333333333333333,32.5
8,myth_game_directive,Myth-Game Directive,8,1.0,0.0,3.0,0.0,36.0
