run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,1.38,9.0,0.15333333333333332,5.5
0,game_only,Game Only,2,2.0,0.0,6.0,0.0,10.0
0,game_only,Game Only,3,2.0,0.0,6.0,0.0,14.5
0,game_only,Game Only,4,1.5,0.2,4.5,0.044444444444444446,18.5
0,game_only,Game Only,5,1.0,0.0,3.0,0.0,22.0
0,game_only,Game Only,6,1.0,0.0,3.0,0.0,25.5
0,game_only,Game Only,7,0.0,0.0,0.0,,28.0
0,game_only,Game Only,8,0.0,0.0,0.0,,30.5
1,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
1,game_only,Game Only,2,3.0,1.45,9.0,0.1611111111111111,11.0
1,game_only,Game Only,3,3.0,0.0,9.0,0.0,16.5
1,game_only,Game Only,4,2.0,0.0,6.0,0.0,21.0
1,game_only,Game Only,5,2.0,0.0,6.0,0.0,25.5
1,game_only,Game Only,6,0.0,0.0,0.0,,28.0
1,game_only,Game Only,7,0.0,0.0,0.0,,30.5
1,game_only,Game Only,8,0.0,0.0,0.0,,33.0
2,game_only,Game Only,1,3.0,4.0,9.0,0.4444444444444444,5.5
2,game_only,Game Only,2,2.5,0.03,7.5,0.004,10.5
2,game_only,Game Only,3,2.0,0.0,6.0,0.0,15.0
2,game_only,Game Only,4,2.0,0.0,6.0,0.0,19.5
2,game_only,Game Only,5,0.0,0.0,0.0,,22.0
2,game_only,Game Only,6,0.0,0.0,0.0,,24.5
2,game_only,Game Only,7,0.0,0.0,0.0,,27.0
2,game_only,Game Only,8,0.0,0.0,0.0,,29.5
3,myth_control,Myth Control,1,3.0,0.0,9.0,0.0,5.5
3,myth_control,Myth Control,2,3.0,0.0,9.0,0.0,11.0
3,myth_control,Myth Control,3,1.0,0.0,3.0,0.0,14.5
3,myth_control,Myth Control,4,0.0,0.0,0.0,,17.0
3,myth_control,Myth Control,5,0.0,0.0,0.0,,19.5
3,myth_control,Myth Control,6,1.0,1.25,3.0,0.4166666666666667,23.0
3,myth_control,Myth Control,7,2.0,0.0,6.0,0.0,27.5
3,myth_control,Myth Control,8,0.0,0.0,0.0,,30.0
4,myth_control,Myth Control,1,3.0,0.0,9.0,0.0,5.5
4,myth_control,Myth Control,2,3.0,3.5,9.0,0.3888888888888889,11.0
4,myth_control,Myth Control,3,2.5,0.0,7.5,0.0,16.0
4,myth_control,Myth Control,4,1.0,0.0,3.0,0.0,19.5
4,myth_control,Myth Control,5,0.0,0.0,0.0,,22.0
4,myth_control,Myth Control,6,1.0,0.0,3.0,0.0,25.5
4,myth_control,Myth Control,7,0.0,0.0,0.0,,28.0
4,myth_control,Myth Control,8,0.0,0.0,0.0,,30.5
5,myth_control,Myth Control,1,3.0,0.0,9.0,0.0,5.5
5,myth_control,Myth Control,2,3.0,2.0,9.0,0.2222222222222222,11.0
5,myth_control,Myth Control,3,2.0,0.0,6.0,0.0,15.5
5,myth_control,Myth Control,4,0.0,0.0,0.0,,18.0
5,myth_control,Myth Control,5,0.0,0.0,0.0,,20.5
5,myth_control,Myth Control,6,2.0,2.0,6.0,0.3333333333333333,25.0
5,myth_control,Myth Control,7,2.5,0.0,7.5,0.0,30.0
5,myth_control,Myth Control,8,1.0,0.0,3.0,0.0,33.5
6,myth_game_directive,Myth-Game Directive,1,4.0,2.5,12.0,0.20833333333333334,6.5
6,myth_game_directive,Myth-Game Directive,2,3.0,0.0,9.0,0.0,12.0
6,myth_game_directive,Myth-Game Directive,3,2.0,0.0,6.0,0.0,16.5
6,myth_game_directive,Myth-Game Directive,4,0.0,0.0,0.0,,19.0
6,myth_game_directive,Myth-Game Directive,5,0.0,0.0,0.0,,21.5
6,myth_game_directive,Myth-Game Directive,6,0.0,0.0,0.0,,24.0
6,myth_game_directive,Myth-Game Directive,7,0.0,0.0,0.0,,26.5
6,myth_game_directive,Myth-Game Directive,8,0.0,0.0,0.0,,29.0
7,myth_game_directive,Myth-Game Directive,1,3.0,0.0,9.0,0.0,5.5
7,myth_game_directive,Myth-Game Directive,2,3.0,2.0,9.0,0.2222222222222222,11.0
7,myth_game_directive,Myth-Game Directive,3,2.0,1.0,6.0,0.16666666666666666,15.5
7,myth_game_directive,Myth-Game Directive,4,2.0,0.0,6.0,0.0,20.0
7,myth_game_directive,Myth-Game Directive,5,0.0,0.0,0.0,,22.5
7,myth_game_directive,Myth-Game Directive,6,0.0,0.0,0.0,,25.0
7,myth_game_directive,Myth-Game Directive,7,0.0,0.0,0.0,,27.5
7,myth_game_directive,Myth-Game Directive,8,2.0,1.5,6.0,0.25,32.0
8,myth_game_directive,Myth-Game Directive,1,4.0,4.0,12.0,0.3333333333333333,6.5
8,myth_game_directive,Myth-Game Directive,2,2.5,0.0,7.5,0.0,11.5
8,myth_game_directive,Myth-Game Directive,3,3.0,0.3,9.0,0.03333333333333333,17.0
8,myth_game_directive,Myth-Game Directive,4,1.0,0.0,3.0,0.0,20.5
8,myth_game_directive,Myth-Game Directive,5,0.0,0.0,0.0,,23.0
8,myth_game_directive,Myth-Game Directive,6,1.0,0.0,3.0,0.0,26.5
8,myth_game_directive,Myth-Game Directive,7,1.0,0.0,3.0,0.0,30.0
8,myth_game_directive,Myth-Game Directive,8,0.0,0.0,0.0,,32.5
