run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,4.0,6.0,12.0,0.5,6.5
0,game_only,Game Only,2,4.0,6.0,12.0,0.5,13.0
0,game_only,Game Only,3,4.0,6.0,12.0,0.5,19.5
0,game_only,Game Only,4,4.0,6.0,12.0,0.5,26.0
0,game_only,Game Only,5,4.0,6.0,12.0,0.5,32.5
0,game_only,Game Only,6,4.0,6.0,12.0,0.5,39.0
0,game_only,Game Only,7,4.0,6.0,12.0,0.5,45.5
0,game_only,Game Only,8,4.0,6.0,12.0,0.5,52.0
0,game_only,Game Only,9,4.0,6.0,12.0,0.5,58.5
0,game_only,Game Only,10,4.0,6.0,12.0,0.5,65.0
1,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
1,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
1,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
1,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
1,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
1,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
1,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
1,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
1,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
1,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
2,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
2,game_only,Game Only,2,3.0,5.0,9.0,0.5555555555555556,11.0
2,game_only,Game Only,3,3.0,5.0,9.0,0.5555555555555556,16.5
2,game_only,Game Only,4,3.0,5.0,9.0,0.5555555555555556,22.0
2,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
2,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
2,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
2,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
2,game_only,Game Only,9,3.0,5.0,9.0,0.5555555555555556,49.5
2,game_only,Game Only,10,3.0,5.0,9.0,0.5555555555555556,55.0
3,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
3,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
3,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
3,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
3,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
3,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
3,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
3,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
3,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
3,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
4,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
4,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
4,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
4,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
4,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
4,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
4,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
4,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
4,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
4,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
5,myth_control,Myth Control,1,5.0,7.5,15.0,0.5,7.5
5,myth_control,Myth Control,2,5.0,7.5,15.0,0.5,15.0
5,myth_control,Myth Control,3,5.0,7.5,15.0,0.5,22.5
5,myth_control,Myth Control,4,5.0,7.5,15.0,0.5,30.0
5,myth_control,Myth Control,5,5.0,7.5,15.0,0.5,37.5
5,myth_control,Myth Control,6,5.0,7.5,15.0,0.5,45.0
5,myth_control,Myth Control,7,5.0,7.5,15.0,0.5,52.5
5,myth_control,Myth Control,8,5.0,7.5,15.0,0.5,60.0
5,myth_control,Myth Control,9,5.0,7.5,15.0,0.5,67.5
5,myth_control,Myth Control,10,5.0,7.5,15.0,0.5,75.0
6,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
6,myth_control,Myth Control,2,3.0,4.5,9.0,0.5,11.0
6,myth_control,Myth Control,3,3.0,4.5,9.0,0.5,16.5
6,myth_control,Myth Control,4,3.0,4.5,9.0,0.5,22.0
6,myth_control,Myth Control,5,3.0,4.5,9.0,0.5,27.5
6,myth_control,Myth Control,6,3.0,4.5,9.0,0.5,33.0
6,myth_control,Myth Control,7,3.0,4.5,9.0,0.5,38.5
6,myth_control,Myth Control,8,3.0,4.5,9.0,0.5,44.0
6,myth_control,Myth Control,9,3.0,4.5,9.0,0.5,49.5
6,myth_control,Myth Control,10,3.0,4.5,9.0,0.5,55.0
