Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Game Only,No Noise,10,65.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_000_neutral_rep00.json
Game Only,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_001_neutral_rep01.json
Game Only,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_002_neutral_rep02.json
Game Only,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_003_neutral_rep03.json
Game Only,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/game/myth_causal_normative_clean_claude_r10_n5_004_neutral_rep04.json
Myth Control,No Noise,10,75.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_005_neutral_rep00_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_006_neutral_rep01_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_007_neutral_rep02_myth_control_anything.json
Myth Control,No Noise,10,65.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_008_neutral_rep03_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_009_neutral_rep04_myth_control_anything.json
Myth-Game Directive,No Noise,10,72.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything.json
Normative Directive,No Noise,10,75.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything.json
Normative Directive,No Noise,10,75.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything.json
Normative Directive,No Noise,10,75.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything.json
Normative Directive,No Noise,10,75.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything.json
Normative Directive,No Noise,10,55.0,data/json/myth_causal_normative_clean_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_normative_clean_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything.json
