Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_000_neutral_rep00.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_001_neutral_rep01.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_002_neutral_rep02.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_003_neutral_rep03.json
Game Only,No Noise,8,50.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_004_neutral_rep04.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_005_neutral_rep00_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_006_neutral_rep01_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_007_neutral_rep02_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_008_neutral_rep03_myth_control_anything.json
Myth Control,No Noise,8,55.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_009_neutral_rep04_myth_control_anything.json
Myth-Game Directive,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_010_neutral_rep00_myth_game_directive_anything.json
