Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_000_neutral_rep00.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_001_neutral_rep01.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_002_neutral_rep02.json
Game Only,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_003_neutral_rep03.json
Game Only,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_004_neutral_rep04.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_005_neutral_rep05.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_006_neutral_rep06.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_007_neutral_rep07.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_008_neutral_rep08.json
Game Only,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_009_neutral_rep09.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_010_neutral_rep00_myth_control_anything.json
Myth Control,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_011_neutral_rep01_myth_control_anything.json
Myth Control,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_012_neutral_rep02_myth_control_anything.json
Myth Control,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_013_neutral_rep03_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_014_neutral_rep04_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_015_neutral_rep05_myth_control_anything.json
Myth Control,No Noise,10,67.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_016_neutral_rep06_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_017_neutral_rep07_myth_control_anything.json
Myth Control,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_018_neutral_rep08_myth_control_anything.json
Myth Control,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_019_neutral_rep09_myth_control_anything.json
Myth-Game Directive,No Noise,10,70.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_000_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_001_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,70.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_002_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_003_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_004_neutral_rep04_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,68.5,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_005_neutral_rep05_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,55.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_006_neutral_rep06_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,75.0,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_007_neutral_rep07_myth_game_directive_anything.json
