condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,,noise_bidirectional_mem3_011_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_016_neutral.json,10,0.95,0.15,0.5,0.0,4.75,7.125,0.0,72.5,71.25,73.75
game,Game Only,,noise_bidirectional_mem3_017_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_010_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_012_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_015_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_014_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_013_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_019_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game,Game Only,,noise_bidirectional_mem3_018_neutral.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_036_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_034_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_032_neutral_anything.json,10,0.96,0.12,0.5322222222222222,0.01261979632400061,4.8,7.65,0.01261979632400061,73.0,74.5,71.5
game_myth,Game → Myth,,noise_bidirectional_mem3_030_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_038_neutral_anything.json,10,1.0,0.0,0.51,0.02134374745810949,5.0,7.65,0.02134374745810949,75.0,73.5,76.5
game_myth,Game → Myth,,noise_bidirectional_mem3_037_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_035_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_033_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
game_myth,Game → Myth,,noise_bidirectional_mem3_039_neutral_anything.json,10,0.51,0.029999999999999992,0.5,0.0,2.55,3.825,0.0,50.5,50.25,50.75
game_myth,Game → Myth,,noise_bidirectional_mem3_031_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_050_neutral_anything.json,10,1.0,0.0,0.5033333333333333,0.009999999999999998,5.0,7.55,0.009999999999999998,75.0,74.5,75.5
myth_game,Myth → Game,,noise_bidirectional_mem3_058_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_052_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_056_neutral_anything.json,10,1.0,0.0,0.5066666666666666,0.01333333333333333,5.0,7.6,0.01333333333333333,75.0,76.0,74.0
myth_game,Myth → Game,,noise_bidirectional_mem3_059_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_051_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_053_neutral_anything.json,10,1.0,0.0,0.5299999999999999,0.048189440982669855,5.0,7.95,0.048189440982669855,75.0,70.5,79.5
myth_game,Myth → Game,,noise_bidirectional_mem3_055_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bidirectional_mem3_057_neutral_anything.json,10,1.0,0.0,0.5,0.0,5.0,7.5,0.0,75.0,75.0,75.0
