condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,,noise_bootstrap_000_neutral.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,,noise_bootstrap_007_neutral.json,10,0.2,0.28284271247461906,0.0,0.0,1.0,0.0,0.0,35.0,15.0,55.0
game,Game Only,,noise_bootstrap_006_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game,Game Only,,noise_bootstrap_001_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
game,Game Only,,noise_bootstrap_000_neutral_2.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
game,Game Only,,noise_bootstrap_000_neutral_3.json,10,0.1,0.30000000000000004,0.0,0.0,0.5,0.0,0.0,30.0,20.0,40.0
game,Game Only,,noise_bootstrap_003_neutral.json,10,0.04,0.12,0.0,0.0,0.2,0.0,0.0,27.0,23.0,31.0
game,Game Only,,noise_bootstrap_004_neutral.json,10,0.22000000000000003,0.3515679166249389,0.13333333333333333,0.3055050463303894,1.1,1.2,0.3055050463303894,36.0,40.0,32.0
game,Game Only,,noise_bootstrap_005_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game,Game Only,,noise_bootstrap_002_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game_myth,Game → Myth,,noise_bootstrap_022_neutral_anything.json,10,0.04,0.12,0.0,0.0,0.2,0.0,0.0,27.0,23.0,31.0
game_myth,Game → Myth,,noise_bootstrap_020_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game_myth,Game → Myth,,noise_bootstrap_002_neutral_anything.json,10,0.58,0.47707441767506253,0.25,0.4031128874149275,2.9,3.6,0.4031128874149275,54.0,32.0,76.0
game_myth,Game → Myth,,noise_bootstrap_016_neutral_anything.json,10,0.12000000000000002,0.18330302779823363,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game_myth,Game → Myth,,noise_bootstrap_019_neutral_anything.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,19.0,43.0
game_myth,Game → Myth,,noise_bootstrap_023_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game_myth,Game → Myth,,noise_bootstrap_002_neutral_anything_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
game_myth,Game → Myth,,noise_bootstrap_021_neutral_anything.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
game_myth,Game → Myth,,noise_bootstrap_017_neutral_anything.json,10,0.16,0.332264954516723,0.03333333333333333,0.09999999999999999,0.8,0.3,0.09999999999999999,33.0,40.0,26.0
myth_game,Myth → Game,,noise_bootstrap_034_neutral_anything.json,10,0.22000000000000003,0.3515679166249389,0.16666666666666666,0.3415650255319866,1.1,2.1,0.3415650255319866,36.0,35.0,37.0
myth_game,Myth → Game,,noise_bootstrap_036_neutral_anything.json,10,0.06,0.18,0.03333333333333333,0.09999999999999999,0.3,0.3,0.09999999999999999,28.0,25.0,31.0
myth_game,Myth → Game,,noise_bootstrap_004_neutral_anything.json,10,0.32,0.41182520563948,0.08333333333333333,0.1707825127659933,1.6,1.05,0.1707825127659933,41.0,56.5,25.5
myth_game,Myth → Game,,noise_bootstrap_038_neutral_anything.json,10,1.0,0.0,0.6666666666666667,1.1102230246251565e-16,5.0,10.0,1.1102230246251565e-16,75.0,75.0,75.0
myth_game,Myth → Game,,noise_bootstrap_032_neutral_anything.json,10,0.96,0.12,0.34444444444444444,0.2260776661041756,4.8,4.9,0.2260776661041756,73.0,66.0,80.0
myth_game,Myth → Game,,noise_bootstrap_037_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
myth_game,Myth → Game,,noise_bootstrap_039_neutral_anything.json,10,0.64,0.4270831300812525,0.26666666666666666,0.38873012632302006,3.2,3.3,0.38873012632302006,57.0,10.0,104.0
myth_game,Myth → Game,,noise_bootstrap_033_neutral_anything.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
