group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game,no_noise/myth_game,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game_myth,no_noise/myth_game,20,20,75.0,75.0,75.0,75.0,0.0,0.0,200.0,1.0,0.0,1.0,False
noise/game,noise/game_myth,10,10,32.65,31.35,31.0,30.5,3.612824379900025,2.2588713996153036,55.5,0.7020199708788583,-0.1100000000000001,1.0,False
noise/game,noise/myth_game,10,9,32.65,30.22222222222222,31.0,30.5,3.612824379900025,2.029109151972186,59.0,0.26696110655186134,-0.3111111111111111,1.0,False
noise/game_myth,noise/myth_game,10,9,31.35,30.22222222222222,30.5,30.5,2.2588713996153036,2.029109151972186,53.0,0.5354186876154486,-0.1777777777777778,1.0,False
noise_informed/game,noise_informed/game_myth,10,10,32.4,30.95,31.5,30.5,2.5179356624028344,1.619413474070165,67.5,0.1960527535231158,-0.3500000000000001,1.0,False
noise_informed/game,noise_informed/myth_game,10,3,32.4,34.333333333333336,31.5,35.5,2.5179356624028344,2.778888666755511,9.0,0.3498809448606971,0.4,1.0,False
noise_informed/game_myth,noise_informed/myth_game,10,3,30.95,34.333333333333336,30.5,35.5,1.619413474070165,2.778888666755511,5.0,0.10540562820611292,0.6666666666666667,1.0,False
no_noise/game,noise/game,10,10,73.0,32.65,75.0,31.0,6.0,3.612824379900025,100.0,8.454414426286908e-05,-1.0,0.0015217945967316434,True
no_noise/game,noise_informed/game,10,10,73.0,32.4,75.0,31.5,6.0,2.5179356624028344,100.0,8.686273303412756e-05,-1.0,0.0015635291946142962,True
noise/game,noise_informed/game,10,10,32.65,32.4,31.0,31.5,3.612824379900025,2.5179356624028344,48.0,0.909176279565392,0.040000000000000036,1.0,False
no_noise/game_myth,noise/game_myth,20,10,75.0,31.35,75.0,30.5,0.0,2.2588713996153036,200.0,1.7341411496766355e-07,-1.0,3.121454069417944e-06,True
no_noise/game_myth,noise_informed/game_myth,20,10,75.0,30.95,75.0,30.5,0.0,1.619413474070165,200.0,1.797228766063275e-07,-1.0,3.235011778913895e-06,True
noise/game_myth,noise_informed/game_myth,10,10,31.35,30.95,30.5,30.5,2.2588713996153036,1.619413474070165,54.5,0.7583711464140485,-0.09000000000000008,1.0,False
no_noise/myth_game,noise/myth_game,20,9,75.0,30.22222222222222,75.0,30.5,0.0,2.029109151972186,180.0,2.6596093912609493e-07,-1.0,4.7872969042697085e-06,True
no_noise/myth_game,noise_informed/myth_game,20,3,75.0,34.333333333333336,75.0,35.5,0.0,2.778888666755511,60.0,4.2466400267807165e-06,-1.0,7.64395204820529e-05,True
noise/myth_game,noise_informed/myth_game,9,3,30.22222222222222,34.333333333333336,30.5,35.5,2.029109151972186,2.778888666755511,4.5,0.11475530327740123,0.6666666666666667,1.0,False
