group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,9,48,27.77777777777778,31.9375,25.0,30.0,5.1806858786110075,7.638734215605794,103.5,0.013129294837686,0.5208333333333333,0.236327307078348,False
no_noise/game,no_noise/myth_game,9,48,27.77777777777778,36.541666666666664,25.0,32.0,5.1806858786110075,11.998191414635048,83.0,0.003549491623580532,0.6157407407407407,0.06389084922444957,False
no_noise/game_myth,no_noise/myth_game,48,48,31.9375,36.541666666666664,30.0,32.0,7.638734215605794,11.998191414635048,909.5,0.07472870540679,0.2105034722222222,1.0,False
noise/game,noise/game_myth,9,10,34.0,31.3,25.0,29.0,15.542057635833022,6.753517601961218,40.5,0.7295042024145715,0.09999999999999998,1.0,False
noise/game,noise/myth_game,9,10,34.0,39.7,25.0,36.0,15.542057635833022,10.266937225872184,26.5,0.13443034324851239,0.4111111111111111,1.0,False
noise/game_myth,noise/myth_game,10,10,31.3,39.7,29.0,36.0,6.753517601961218,10.266937225872184,27.0,0.08584903756119651,0.45999999999999996,1.0,False
noise_informed/game,noise_informed/game_myth,10,10,42.9,42.0,37.0,43.0,16.250846131817262,6.48074069840786,41.0,0.5186303998216906,0.18000000000000005,1.0,False
noise_informed/game,noise_informed/myth_game,10,10,42.9,42.55,37.0,42.5,16.250846131817262,11.068988210310822,47.0,0.8498275450899011,0.06000000000000005,1.0,False
noise_informed/game_myth,noise_informed/myth_game,10,10,42.0,42.55,43.0,42.5,6.48074069840786,11.068988210310822,55.0,0.7321757049524591,-0.10000000000000009,1.0,False
no_noise/game,noise/game,9,9,27.77777777777778,34.0,25.0,25.0,5.1806858786110075,15.542057635833022,36.5,0.7337519580951014,0.09876543209876543,1.0,False
no_noise/game,noise_informed/game,9,10,27.77777777777778,42.9,25.0,37.0,5.1806858786110075,16.250846131817262,12.5,0.007845164304624827,0.7222222222222222,0.1412129574832469,False
noise/game,noise_informed/game,9,10,34.0,42.9,25.0,37.0,15.542057635833022,16.250846131817262,25.5,0.11476131491822024,0.43333333333333335,1.0,False
no_noise/game_myth,noise/game_myth,48,10,31.9375,31.3,30.0,29.0,7.638734215605794,6.753517601961218,259.5,0.6930180974154038,-0.08125000000000004,1.0,False
no_noise/game_myth,noise_informed/game_myth,48,10,31.9375,42.0,30.0,43.0,7.638734215605794,6.48074069840786,66.5,0.00034421410407523597,0.7229166666666667,0.006195853873354248,True
noise/game_myth,noise_informed/game_myth,10,10,31.3,42.0,29.0,43.0,6.753517601961218,6.48074069840786,14.5,0.0077721586698753,0.71,0.1398988560577554,False
no_noise/myth_game,noise/myth_game,48,10,36.541666666666664,39.7,32.0,36.0,11.998191414635048,10.266937225872184,192.5,0.3317601220240576,0.19791666666666663,1.0,False
no_noise/myth_game,noise_informed/myth_game,48,10,36.541666666666664,42.55,32.0,42.5,11.998191414635048,11.068988210310822,145.5,0.05235313301044325,0.39375000000000004,0.9423563941879785,False
noise/myth_game,noise_informed/myth_game,10,10,39.7,42.55,36.0,42.5,10.266937225872184,11.068988210310822,42.0,0.5690020791220465,0.16000000000000003,1.0,False
