group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,16,15,74.625,74.2,75.0,75.0,1.4523687548277813,2.9933259094191524,121.0,0.962993001589353,-0.008333333333333304,1.0,False
no_noise/game,no_noise/myth_game,16,15,74.625,71.53333333333333,75.0,75.0,1.4523687548277813,7.219110440736833,138.0,0.23515524301320867,-0.1499999999999999,1.0,False
no_noise/game_myth,no_noise/myth_game,15,15,74.2,71.53333333333333,75.0,75.0,2.9933259094191524,7.219110440736833,128.0,0.29245608868843154,-0.13777777777777778,1.0,False
noise/game,noise/game_myth,15,15,34.56666666666667,32.06666666666667,32.5,31.0,5.58828138955877,2.4890872936792623,133.0,0.4036840233029114,-0.18222222222222229,1.0,False
noise/game,noise/myth_game,15,15,34.56666666666667,30.966666666666665,32.5,30.5,5.58828138955877,2.6861786157207708,153.5,0.09134711986742487,-0.36444444444444435,1.0,False
noise/game_myth,noise/myth_game,15,15,32.06666666666667,30.966666666666665,31.0,30.5,2.4890872936792623,2.6861786157207708,139.0,0.27788238580938474,-0.23555555555555552,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,33.63333333333333,31.366666666666667,32.0,30.5,4.616877251514876,1.9102065042525873,145.5,0.1759546199533275,-0.2933333333333332,1.0,False
noise_informed/game,noise_informed/myth_game,15,15,33.63333333333333,31.466666666666665,32.0,30.5,4.616877251514876,2.194437412084372,145.5,0.17425504815416915,-0.2933333333333332,1.0,False
noise_informed/game_myth,noise_informed/myth_game,15,15,31.366666666666667,31.466666666666665,30.5,30.5,1.9102065042525873,2.194437412084372,108.5,0.8832512570339155,0.03555555555555556,1.0,False
no_noise/game,noise/game,16,15,74.625,34.56666666666667,75.0,32.5,1.4523687548277813,5.58828138955877,240.0,5.126179002173137e-07,-1.0,9.227122203911647e-06,True
no_noise/game,noise_informed/game,16,15,74.625,33.63333333333333,75.0,32.0,1.4523687548277813,4.616877251514876,240.0,5.249585374567796e-07,-1.0,9.449253674222032e-06,True
noise/game,noise_informed/game,15,15,34.56666666666667,33.63333333333333,32.5,32.0,5.58828138955877,4.616877251514876,120.5,0.7547830804255818,-0.07111111111111112,1.0,False
no_noise/game_myth,noise/game_myth,15,15,74.2,32.06666666666667,75.0,31.0,2.9933259094191524,2.4890872936792623,225.0,9.22640574438627e-07,-1.0,1.6607530339895286e-05,True
no_noise/game_myth,noise_informed/game_myth,15,15,74.2,31.366666666666667,75.0,30.5,2.9933259094191524,1.9102065042525873,225.0,9.341597375889519e-07,-1.0,1.6814875276601135e-05,True
noise/game_myth,noise_informed/game_myth,15,15,32.06666666666667,31.366666666666667,31.0,30.5,2.4890872936792623,1.9102065042525873,131.0,0.4519112824528527,-0.1644444444444444,1.0,False
no_noise/myth_game,noise/myth_game,15,15,71.53333333333333,30.966666666666665,75.0,30.5,7.219110440736833,2.6861786157207708,225.0,1.5536619322938906e-06,-1.0,2.7965914781290032e-05,True
no_noise/myth_game,noise_informed/myth_game,15,15,71.53333333333333,31.466666666666665,75.0,30.5,7.219110440736833,2.194437412084372,225.0,1.488282611429983e-06,-1.0,2.6789087005739694e-05,True
noise/myth_game,noise_informed/myth_game,15,15,30.966666666666665,31.466666666666665,30.5,30.5,2.6861786157207708,2.194437412084372,102.5,0.6909614640966951,0.0888888888888889,1.0,False
