group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,16,48,30.3125,31.9375,28.0,30.0,7.646230689038881,7.638734215605794,276.0,0.09142469663448403,0.28125,1.0,False
no_noise/game,no_noise/myth_game,16,48,30.3125,36.541666666666664,28.0,32.0,7.646230689038881,11.998191414635048,227.5,0.01490881827846348,0.40755208333333337,0.26835872901234264,False
no_noise/game_myth,no_noise/myth_game,48,48,31.9375,36.541666666666664,30.0,32.0,7.638734215605794,11.998191414635048,909.5,0.07472870540679,0.2105034722222222,1.0,False
noise/game,noise/game_myth,15,15,32.4,32.86666666666667,25.0,30.0,13.265494085533842,6.974875546480302,84.0,0.22945391621127986,0.2533333333333333,1.0,False
noise/game,noise/myth_game,15,15,32.4,36.86666666666667,25.0,36.0,13.265494085533842,9.85810439294605,66.0,0.051462113162311134,0.41333333333333333,0.9263180369216004,False
noise/game_myth,noise/myth_game,15,15,32.86666666666667,36.86666666666667,30.0,36.0,6.974875546480302,9.85810439294605,91.0,0.3800507521545663,0.19111111111111112,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,38.93333333333333,42.0,36.0,42.0,14.766930020224995,6.250333324444918,71.0,0.08834254060761149,0.36888888888888893,1.0,False
noise_informed/game,noise_informed/myth_game,15,15,38.93333333333333,44.9,36.0,44.0,14.766930020224995,10.960839383915815,72.5,0.10084765660925606,0.3555555555555555,1.0,False
noise_informed/game_myth,noise_informed/myth_game,15,15,42.0,44.9,42.0,44.0,6.250333324444918,10.960839383915815,98.5,0.5741018812755416,0.12444444444444447,1.0,False
no_noise/game,noise/game,16,15,30.3125,32.4,28.0,25.0,7.646230689038881,13.265494085533842,131.0,0.6619262886928543,-0.09166666666666656,1.0,False
no_noise/game,noise_informed/game,16,15,30.3125,38.93333333333333,28.0,36.0,7.646230689038881,14.766930020224995,71.0,0.05138955729035135,0.4083333333333333,0.9250120312263242,False
noise/game,noise_informed/game,15,15,32.4,38.93333333333333,25.0,36.0,13.265494085533842,14.766930020224995,71.5,0.08471578256160008,0.36444444444444446,1.0,False
no_noise/game_myth,noise/game_myth,48,15,31.9375,32.86666666666667,30.0,30.0,7.638734215605794,6.974875546480302,332.0,0.6544941223160459,0.07777777777777772,1.0,False
no_noise/game_myth,noise_informed/game_myth,48,15,31.9375,42.0,30.0,42.0,7.638734215605794,6.250333324444918,91.5,1.405456580452846e-05,0.7458333333333333,0.00025298218448151227,True
noise/game_myth,noise_informed/game_myth,15,15,32.86666666666667,42.0,30.0,42.0,6.974875546480302,6.250333324444918,41.5,0.0033390429041282826,0.6311111111111112,0.06010277227430909,False
no_noise/myth_game,noise/myth_game,48,15,36.541666666666664,36.86666666666667,32.0,36.0,11.998191414635048,9.85810439294605,343.0,0.7892412153200798,0.047222222222222276,1.0,False
no_noise/myth_game,noise_informed/myth_game,48,15,36.541666666666664,44.9,32.0,44.0,11.998191414635048,10.960839383915815,187.0,0.005268474927116732,0.4805555555555555,0.09483254868810118,False
noise/myth_game,noise_informed/myth_game,15,15,36.86666666666667,44.9,36.0,44.0,9.85810439294605,10.960839383915815,65.0,0.05036109270628095,0.4222222222222223,0.9064996687130571,False
