model,noise_condition,myth_task_order,n_game,n_myth,median_game,median_myth,std_game,std_myth,delta_median,delta_median_ci_low,delta_median_ci_high,delta_std,delta_std_ci_low,delta_std_ci_high,mean_direction,std_direction,classification
claude-sonnet-4.5,no_noise,game_myth,15,20,55.0,55.0,2.4944382578492945,3.570714214271425,0.0,0.0,0.0,1.0762759564221307,-2.4944382578492945,4.330127018922194,flat,flat,null
claude-sonnet-4.5,no_noise,myth_game,15,20,55.0,55.0,2.4944382578492945,2.179449471770337,0.0,0.0,0.0,-0.31498878607895753,-4.0,3.014267855356708,flat,flat,null
claude-sonnet-4.5,noise,game_myth,15,15,36.0,40.1,5.321992692800529,3.499793644710436,4.100000000000001,-1.0,8.350000000000001,-1.8221990480900927,-3.940972270364561,0.6856589393220356,flat,flat,null
claude-sonnet-4.5,noise,myth_game,15,15,36.0,37.0,5.321992692800529,3.5535178188506236,1.0,-3.0,7.850000000000001,-1.7684748739499052,-3.7647654214362123,0.6889038902387519,flat,flat,null
claude-sonnet-4.5,noise_informed,game_myth,15,15,36.0,40.5,5.891967639648632,4.558752265941002,4.5,1.5,8.0,-1.3332153737076302,-4.131368595428469,2.4373855004648672,up,flat,lift
claude-sonnet-4.5,noise_informed,myth_game,15,15,36.0,41.5,5.891967639648632,4.726692524611922,5.5,1.0,9.5,-1.1652751150367102,-3.8009228987744694,2.440406257277851,up,flat,lift
gemini-3.1-pro-preview,no_noise,game_myth,16,15,75.0,75.0,1.4523687548277813,2.9933259094191524,0.0,0.0,0.0,1.5409571545913712,-2.341874249399399,4.8,flat,flat,null
gemini-3.1-pro-preview,no_noise,myth_game,16,15,75.0,75.0,1.4523687548277813,7.219110440736833,0.0,0.0,0.0,5.766741685909052,0.0,9.04245518171014,flat,flat,null
gemini-3.1-pro-preview,noise,game_myth,15,15,32.5,31.0,5.58828138955877,2.4890872936792623,-1.5,-6.5,2.5,-3.099194095879508,-5.627258370533167,-0.22399868787137442,flat,down,consolidation
gemini-3.1-pro-preview,noise,myth_game,15,15,32.5,30.5,5.58828138955877,2.6861786157207708,-2.0,-7.0,1.0,-2.9021027738379996,-5.35714966667951,-0.07444850835953604,flat,down,consolidation
gemini-3.1-pro-preview,noise_informed,game_myth,15,15,32.0,30.5,4.616877251514876,1.9102065042525873,-1.5,-4.5,2.0,-2.706670747262289,-4.657927325739217,-0.15416124868639713,flat,down,consolidation
gemini-3.1-pro-preview,noise_informed,myth_game,15,15,32.0,30.5,4.616877251514876,2.194437412084372,-1.5,-5.0,0.5,-2.422439839430504,-4.634544900541804,0.22561786751460008,flat,flat,null
gpt-5-nano,no_noise,game_myth,16,48,28.0,30.0,7.646230689038881,7.638734215605794,2.0,0.0,5.0,-0.007496473433087125,-4.367832035508686,5.43254743980474,flat,flat,null
gpt-5-nano,no_noise,myth_game,16,48,28.0,32.0,7.646230689038881,11.998191414635048,4.0,1.0,11.0,4.351960725596167,-0.42742794321189237,9.841630961442172,up,flat,lift
gpt-5-nano,noise,game_myth,30,15,28.0,30.0,6.195350774752163,4.649537420241095,2.0,0.0,5.0,-1.5458133545110684,-4.203591849693891,1.7119709910653005,flat,flat,null
gpt-5-nano,noise,myth_game,30,15,28.0,33.0,6.195350774752163,4.3248216918928195,5.0,1.0,8.0,-1.8705290828593437,-4.201122874724648,1.1563634388036241,up,flat,lift
gpt-5-nano,noise_informed,game_myth,27,15,28.779999999999998,33.53,6.384201758933173,5.649926095878501,4.7500000000000036,-1.259999999999998,8.0,-0.7342756630546718,-4.3488108721290315,2.8084022015252548,flat,flat,null
gpt-5-nano,noise_informed,myth_game,27,15,28.779999999999998,34.0,6.384201758933173,6.223452275242594,5.220000000000002,0.0,10.030000000000001,-0.16074948369057918,-3.783676802715057,3.0469180076658082,flat,flat,null
