group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,10,20,55.0,56.5,55.0,55.0,0.0,3.570714214271425,85.0,0.21982797805299126,0.15000000000000002,1.0,False
no_noise/game,no_noise/myth_game,10,20,55.0,55.5,55.0,55.0,0.0,2.179449471770337,95.0,0.5245182802130763,0.050000000000000044,1.0,False
no_noise/game_myth,no_noise/myth_game,20,20,56.5,55.5,55.0,55.0,3.570714214271425,2.179449471770337,220.0,0.3101953691233854,-0.10000000000000009,1.0,False
noise/game,noise/game_myth,15,15,36.56733333333333,39.083333333333336,36.0,40.1,5.321992692800529,3.499793644710436,71.5,0.09269327890936044,0.36444444444444446,1.0,False
noise/game,noise/myth_game,15,15,36.56733333333333,37.336666666666666,36.0,37.0,5.321992692800529,3.5535178188506236,92.5,0.41804719870551654,0.1777777777777778,1.0,False
noise/game_myth,noise/myth_game,15,15,39.083333333333336,37.336666666666666,40.1,37.0,3.499793644710436,3.5535178188506236,143.0,0.2129660803555038,-0.2711111111111111,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,37.362,40.53333333333333,36.0,40.5,5.891967639648632,4.558752265941002,61.0,0.03415722152752779,0.45777777777777773,0.6148299874955001,False
noise_informed/game,noise_informed/myth_game,15,15,37.362,41.223333333333336,36.0,41.5,5.891967639648632,4.726692524611922,58.0,0.024973558518233067,0.48444444444444446,0.44952405332819523,False
noise_informed/game_myth,noise_informed/myth_game,15,15,40.53333333333333,41.223333333333336,40.5,41.5,4.558752265941002,4.726692524611922,99.0,0.5893656541064338,0.12,1.0,False
no_noise/game,noise/game,10,15,55.0,36.56733333333333,55.0,36.0,0.0,5.321992692800529,150.0,1.937364000585549e-05,-1.0,0.00034872552010539883,True
no_noise/game,noise_informed/game,10,15,55.0,37.362,55.0,36.0,0.0,5.891967639648632,150.0,1.9450052405730463e-05,-1.0,0.0003501009433031483,True
noise/game,noise_informed/game,15,15,36.56733333333333,37.362,36.0,36.0,5.321992692800529,5.891967639648632,102.0,0.6779641484961595,0.09333333333333338,1.0,False
no_noise/game_myth,noise/game_myth,20,15,56.5,39.083333333333336,55.0,40.1,3.570714214271425,3.499793644710436,300.0,1.1706505334014595e-07,-1.0,2.107170960122627e-06,True
no_noise/game_myth,noise_informed/game_myth,20,15,56.5,40.53333333333333,55.0,40.5,3.570714214271425,4.558752265941002,300.0,1.1626109798087013e-07,-1.0,2.0926997636556623e-06,True
noise/game_myth,noise_informed/game_myth,15,15,39.083333333333336,40.53333333333333,40.1,40.5,3.499793644710436,4.558752265941002,97.5,0.5467483283656303,0.1333333333333333,1.0,False
no_noise/myth_game,noise/myth_game,20,15,55.5,37.336666666666666,55.0,37.0,2.179449471770337,3.5535178188506236,300.0,5.41604822202516e-08,-1.0,9.748886799645288e-07,True
no_noise/myth_game,noise_informed/myth_game,20,15,55.5,41.223333333333336,55.0,41.5,2.179449471770337,4.726692524611922,300.0,5.429835414646987e-08,-1.0,9.773703746364576e-07,True
noise/myth_game,noise_informed/myth_game,15,15,37.336666666666666,41.223333333333336,37.0,41.5,3.5535178188506236,4.726692524611922,56.0,0.020122024538521036,0.5022222222222222,0.3621964416933786,False
