group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game,no_noise/myth_game,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game_myth,no_noise/myth_game,20,20,75.0,75.0,75.0,75.0,0.0,0.0,200.0,1.0,0.0,1.0,False
noise/game,noise/game_myth,15,15,34.56666666666667,32.06666666666667,32.5,31.0,5.58828138955877,2.4890872936792623,133.0,0.4036840233029114,-0.18222222222222229,1.0,False
noise/game,noise/myth_game,15,15,34.56666666666667,30.966666666666665,32.5,30.5,5.58828138955877,2.6861786157207708,153.5,0.09134711986742487,-0.36444444444444435,1.0,False
noise/game_myth,noise/myth_game,15,15,32.06666666666667,30.966666666666665,31.0,30.5,2.4890872936792623,2.6861786157207708,139.0,0.27788238580938474,-0.23555555555555552,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,33.63333333333333,31.366666666666667,32.0,30.5,4.616877251514876,1.9102065042525873,145.5,0.1759546199533275,-0.2933333333333332,1.0,False
noise_informed/game,noise_informed/myth_game,15,15,33.63333333333333,31.466666666666665,32.0,30.5,4.616877251514876,2.194437412084372,145.5,0.17425504815416915,-0.2933333333333332,1.0,False
noise_informed/game_myth,noise_informed/myth_game,15,15,31.366666666666667,31.466666666666665,30.5,30.5,1.9102065042525873,2.194437412084372,108.5,0.8832512570339155,0.03555555555555556,1.0,False
no_noise/game,noise/game,10,15,73.0,34.56666666666667,75.0,32.5,6.0,5.58828138955877,150.0,2.2279305019912856e-05,-1.0,0.0004010274903584314,True
no_noise/game,noise_informed/game,10,15,73.0,33.63333333333333,75.0,32.0,6.0,4.616877251514876,150.0,2.2969634924339565e-05,-1.0,0.0004134534286381122,True
noise/game,noise_informed/game,15,15,34.56666666666667,33.63333333333333,32.5,32.0,5.58828138955877,4.616877251514876,120.5,0.7547830804255818,-0.07111111111111112,1.0,False
no_noise/game_myth,noise/game_myth,20,15,75.0,32.06666666666667,75.0,31.0,0.0,2.4890872936792623,300.0,3.201190687274991e-08,-1.0,5.762143237094984e-07,True
no_noise/game_myth,noise_informed/game_myth,20,15,75.0,31.366666666666667,75.0,30.5,0.0,1.9102065042525873,300.0,3.236167749453742e-08,-1.0,5.825101949016736e-07,True
noise/game_myth,noise_informed/game_myth,15,15,32.06666666666667,31.366666666666667,31.0,30.5,2.4890872936792623,1.9102065042525873,131.0,0.4519112824528527,-0.1644444444444444,1.0,False
no_noise/myth_game,noise/myth_game,20,15,75.0,30.966666666666665,75.0,30.5,0.0,2.6861786157207708,300.0,3.253781316462372e-08,-1.0,5.856806369632269e-07,True
no_noise/myth_game,noise_informed/myth_game,20,15,75.0,31.466666666666665,75.0,30.5,0.0,2.194437412084372,300.0,3.1236991933320846e-08,-1.0,5.622658547997752e-07,True
noise/myth_game,noise_informed/myth_game,15,15,30.966666666666665,31.466666666666665,30.5,30.5,2.6861786157207708,2.194437412084372,102.5,0.6909614640966951,0.0888888888888889,1.0,False
