condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,noisy_negative_5,noise_negative_mem3_069_neutral.json,10,0.14,0.22449944320643647,0.016666666666666666,0.049999999999999996,0.7,0.15,0.049999999999999996,32.0,35.5,28.5
game,Game Only,noisy_negative_5,noise_negative_mem3_068_neutral.json,10,0.15,0.206155281280883,0.01111111111111111,0.03333333333333333,0.75,0.1,0.03333333333333333,32.5,28.5,36.5
game,Game Only,noisy_negative_5,noise_negative_mem3_013_neutral.json,10,0.13,0.20024984394500786,0.013777777777777778,0.04133333333333333,0.65,0.124,0.04133333333333333,31.5,25.740000000000002,37.26
game,Game Only,noisy_negative_5,noise_negative_mem3_014_neutral.json,10,0.153,0.209954757031128,0.04088888888888889,0.11615315559878497,0.765,0.359,0.11615315559878497,32.65,35.36,29.939999999999998
game,Game Only,noisy_negative_5,noise_negative_mem3_065_neutral.json,10,0.22000000000000003,0.24413111231467405,0.07222222222222222,0.14917468424552838,1.1,0.65,0.14917468424552838,36.0,35.5,36.5
game,Game Only,noisy_negative_5,noise_negative_mem3_062_neutral.json,10,0.19,0.2211334438749598,0.10555555555555556,0.2200589146704262,0.95,0.55,0.2200589146704262,34.5,43.0,26.0
game,Game Only,noisy_negative_5,noise_negative_mem3_012_neutral.json,10,0.24,0.23323807579381203,0.09044444444444444,0.15418459355230302,1.2,0.58,0.15418459355230302,37.0,39.2,34.8
game,Game Only,noisy_negative_5,noise_negative_mem3_063_neutral.json,10,0.3,0.21447610589527216,0.2638888888888889,0.3966001344763598,1.5,1.75,0.3966001344763598,40.0,38.5,41.5
game,Game Only,noisy_negative_5,noise_negative_mem3_064_neutral.json,10,0.12,0.20396078054371142,0.0006666666666666666,0.002,0.6,0.006,0.002,31.0,31.060000000000002,30.939999999999998
game,Game Only,noisy_negative_5,noise_negative_mem3_010_neutral.json,10,0.5071999999999999,0.11369503067416799,0.6296969696969696,0.6546475790140122,2.536,4.95,0.6546475790140122,50.36,54.58,46.14
game,Game Only,noisy_negative_5,noise_negative_mem3_066_neutral.json,10,0.24,0.23323807579381203,0.08333333333333334,0.24999999999999997,1.2,0.5,0.24999999999999997,37.0,42.0,32.0
game,Game Only,noisy_negative_5,noise_negative_mem3_061_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game,Game Only,noisy_negative_5,noise_negative_mem3_011_neutral.json,10,0.36000000000000004,0.19078784028338913,0.35377777777777775,0.4859914646407936,1.8,2.506,0.4859914646407936,43.0,22.060000000000002,63.94
game,Game Only,noisy_negative_5,noise_negative_mem3_060_neutral.json,10,0.25,0.30740852297878796,0.05555555555555556,0.1138550085106622,1.25,0.55,0.1138550085106622,37.5,38.0,37.0
