group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game,no_noise/myth_game,10,20,73.0,75.0,75.0,75.0,6.0,0.0,90.0,0.1791091927267221,0.09999999999999998,1.0,False
no_noise/game_myth,no_noise/myth_game,20,20,75.0,75.0,75.0,75.0,0.0,0.0,200.0,1.0,0.0,1.0,False
noise/game,noise/game_myth,15,14,30.266666666666666,30.142857142857142,30.0,30.0,1.0624918300339488,1.124858267715973,120.0,0.5037375639062522,-0.1428571428571428,1.0,False
noise/game,noise/myth_game,15,15,30.266666666666666,29.333333333333332,30.0,30.0,1.0624918300339488,1.2995725793078619,158.0,0.0522123033765789,-0.4044444444444444,0.9398214607784202,False
noise/game_myth,noise/myth_game,14,15,30.142857142857142,29.333333333333332,30.0,30.0,1.124858267715973,1.2995725793078619,137.0,0.14702222418130212,-0.3047619047619048,1.0,False
noise_informed/game,noise_informed/game_myth,15,14,30.533333333333335,29.928571428571427,31.0,30.0,0.8055363982396382,0.5933302759227196,151.0,0.03272830710041574,-0.4380952380952381,0.5891095278074834,False
noise_informed/game,noise_informed/myth_game,15,15,30.533333333333335,29.4,31.0,30.0,0.8055363982396382,1.0198039027185568,179.0,0.0036651031680441436,-0.5911111111111111,0.06597185702479458,False
noise_informed/game_myth,noise_informed/myth_game,14,15,29.928571428571427,29.4,30.0,30.0,0.5933302759227196,1.0198039027185568,129.5,0.22784554307161364,-0.2333333333333334,1.0,False
no_noise/game,noise/game,10,15,73.0,30.266666666666666,75.0,30.0,6.0,1.0624918300339488,150.0,1.937364000585549e-05,-1.0,0.00034872552010539883,True
no_noise/game,noise_informed/game,10,15,73.0,30.533333333333335,75.0,31.0,6.0,0.8055363982396382,150.0,1.5977329463464184e-05,-1.0,0.0002875919303423553,True
noise/game,noise_informed/game,15,15,30.266666666666666,30.533333333333335,30.0,31.0,1.0624918300339488,0.8055363982396382,95.0,0.456454748215013,0.15555555555555556,1.0,False
no_noise/game_myth,noise/game_myth,20,14,75.0,30.142857142857142,75.0,30.0,0.0,1.124858267715973,280.0,3.721585203824493e-08,-1.0,6.698853366884087e-07,True
no_noise/game_myth,noise_informed/game_myth,20,14,75.0,29.928571428571427,75.0,30.0,0.0,0.5933302759227196,280.0,3.105478218951073e-08,-1.0,5.589860794111932e-07,True
noise/game_myth,noise_informed/game_myth,14,14,30.142857142857142,29.928571428571427,30.0,30.0,1.124858267715973,0.5933302759227196,99.5,0.9589652717013306,-0.015306122448979664,1.0,False
no_noise/myth_game,noise/myth_game,20,15,75.0,29.333333333333332,75.0,30.0,0.0,1.2995725793078619,300.0,2.9169920753687736e-08,-1.0,5.250585735663792e-07,True
no_noise/myth_game,noise_informed/myth_game,20,15,75.0,29.4,75.0,30.0,0.0,1.0198039027185568,300.0,2.2429652220523567e-08,-1.0,4.037337399694242e-07,True
noise/myth_game,noise_informed/myth_game,15,15,29.333333333333332,29.4,30.0,30.0,1.2995725793078619,1.0198039027185568,106.5,0.8043724255231546,0.053333333333333344,1.0,False
