group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,10,20,55.0,56.5,55.0,55.0,0.0,3.570714214271425,85.0,0.21982797805299126,0.15000000000000002,1.0,False
no_noise/game,no_noise/myth_game,10,20,55.0,55.5,55.0,55.0,0.0,2.179449471770337,95.0,0.5245182802130763,0.050000000000000044,1.0,False
no_noise/game_myth,no_noise/myth_game,20,20,56.5,55.5,55.0,55.0,3.570714214271425,2.179449471770337,220.0,0.3101953691233854,-0.10000000000000009,1.0,False
noise/game,noise/game_myth,15,13,32.6,36.80769230769231,32.0,37.0,1.3063945294843617,1.704501523550795,5.0,1.9111537634024472e-05,0.9487179487179487,0.0003440076774124405,True
noise/game,noise/myth_game,15,15,32.6,37.0,32.0,37.0,1.3063945294843617,2.898275349237888,24.0,0.00021975958094502498,0.7866666666666666,0.00395567245701045,True
noise/game_myth,noise/myth_game,13,15,36.80769230769231,37.0,37.0,37.0,1.704501523550795,2.898275349237888,87.5,0.6581335882704504,0.10256410256410253,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,33.56666666666667,37.93333333333333,33.0,37.0,1.27627931460511,2.4073960113690385,7.0,1.0531172284197924e-05,0.9377777777777778,0.00018956110111556263,True
noise_informed/game,noise_informed/myth_game,15,15,33.56666666666667,37.5,33.0,37.0,1.27627931460511,4.053804797142227,20.0,0.0001135774485374408,0.8222222222222222,0.0020443940736739343,True
noise_informed/game_myth,noise_informed/myth_game,15,15,37.93333333333333,37.5,37.0,37.0,2.4073960113690385,4.053804797142227,141.5,0.23146743283216886,-0.2577777777777779,1.0,False
no_noise/game,noise/game,10,15,55.0,32.6,55.0,32.0,0.0,1.3063945294843617,150.0,1.6507582481678847e-05,-1.0,0.00029713648467021925,True
no_noise/game,noise_informed/game,10,15,55.0,33.56666666666667,55.0,33.0,0.0,1.27627931460511,150.0,1.53971674949738e-05,-1.0,0.00027714901490952844,True
noise/game,noise_informed/game,15,15,32.6,33.56666666666667,32.0,33.0,1.3063945294843617,1.27627931460511,64.0,0.04112670374840027,0.4311111111111111,0.7402806674712049,False
no_noise/game_myth,noise/game_myth,20,13,56.5,36.80769230769231,55.0,37.0,3.570714214271425,1.704501523550795,260.0,2.7310376946447194e-07,-1.0,4.9158678503604945e-06,True
no_noise/game_myth,noise_informed/game_myth,20,15,56.5,37.93333333333333,55.0,37.0,3.570714214271425,2.4073960113690385,300.0,1.1335394650779079e-07,-1.0,2.040371037140234e-06,True
noise/game_myth,noise_informed/game_myth,13,15,36.80769230769231,37.93333333333333,37.0,37.0,1.704501523550795,2.4073960113690385,72.5,0.252737605709099,0.2564102564102564,1.0,False
no_noise/myth_game,noise/myth_game,20,15,55.5,37.0,55.0,37.0,2.179449471770337,2.898275349237888,300.0,5.2663892783262225e-08,-1.0,9.4795007009872e-07,True
no_noise/myth_game,noise_informed/myth_game,20,15,55.5,37.5,55.0,37.0,2.179449471770337,4.053804797142227,300.0,5.226203712856131e-08,-1.0,9.407166683141036e-07,True
noise/myth_game,noise_informed/myth_game,15,15,37.0,37.5,37.0,37.0,2.898275349237888,4.053804797142227,122.0,0.7055913685444508,-0.08444444444444454,1.0,False
