group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,9,48,27.77777777777778,31.9375,25.0,30.0,5.1806858786110075,7.638734215605794,103.5,0.013129294837686,0.5208333333333333,0.236327307078348,False
no_noise/game,no_noise/myth_game,9,48,27.77777777777778,36.541666666666664,25.0,32.0,5.1806858786110075,11.998191414635048,83.0,0.003549491623580532,0.6157407407407407,0.06389084922444957,False
no_noise/game_myth,no_noise/myth_game,48,48,31.9375,36.541666666666664,30.0,32.0,7.638734215605794,11.998191414635048,909.5,0.07472870540679,0.2105034722222222,1.0,False
noise/game,noise/game_myth,15,14,37.53333333333333,42.357142857142854,35.0,42.5,12.805554350445833,10.767723879772381,75.5,0.20440293930357323,0.28095238095238095,1.0,False
noise/game,noise/myth_game,15,13,37.53333333333333,45.15384615384615,35.0,45.0,12.805554350445833,9.709996069445088,56.0,0.05851922722639229,0.4256410256410257,1.0,False
noise/game_myth,noise/myth_game,14,13,42.357142857142854,45.15384615384615,42.5,45.0,10.767723879772381,9.709996069445088,75.0,0.45064139691303506,0.17582417582417587,1.0,False
noise_informed/game,noise_informed/game_myth,15,15,51.2,50.266666666666666,53.0,48.0,11.472866540959442,9.469013793538492,116.0,0.9008067029422675,-0.03111111111111109,1.0,False
noise_informed/game,noise_informed/myth_game,15,15,51.2,53.0,53.0,56.0,11.472866540959442,9.273618495495704,105.5,0.7864162629679169,0.06222222222222218,1.0,False
noise_informed/game_myth,noise_informed/myth_game,15,15,50.266666666666666,53.0,48.0,56.0,9.469013793538492,9.273618495495704,94.0,0.4540439931388436,0.1644444444444444,1.0,False
no_noise/game,noise/game,9,15,27.77777777777778,37.53333333333333,25.0,35.0,5.1806858786110075,12.805554350445833,32.0,0.03293029292850727,0.5259259259259259,0.5927452727131308,False
no_noise/game,noise_informed/game,9,15,27.77777777777778,51.2,25.0,53.0,5.1806858786110075,11.472866540959442,5.0,0.0002007741174487385,0.9259259259259259,0.0036139341140772933,True
noise/game,noise_informed/game,15,15,37.53333333333333,51.2,35.0,53.0,12.805554350445833,11.472866540959442,48.5,0.008340430927533131,0.5688888888888889,0.15012775669559636,False
no_noise/game_myth,noise/game_myth,48,14,31.9375,42.357142857142854,30.0,42.5,7.638734215605794,10.767723879772381,134.5,0.0006714774126379954,0.5997023809523809,0.012086593427483916,True
no_noise/game_myth,noise_informed/game_myth,48,15,31.9375,50.266666666666666,30.0,48.0,7.638734215605794,9.469013793538492,47.5,4.3136122421010114e-07,0.8680555555555556,7.76450203578182e-06,True
noise/game_myth,noise_informed/game_myth,14,15,42.357142857142854,50.266666666666666,42.5,48.0,10.767723879772381,9.469013793538492,61.5,0.06018260682429141,0.41428571428571426,1.0,False
no_noise/myth_game,noise/myth_game,48,13,36.541666666666664,45.15384615384615,32.0,45.0,11.998191414635048,9.709996069445088,145.5,0.0034063320943651773,0.5336538461538461,0.06131397769857319,False
no_noise/myth_game,noise_informed/myth_game,48,15,36.541666666666664,53.0,32.0,56.0,11.998191414635048,9.273618495495704,97.0,2.203444889555766e-05,0.7305555555555556,0.00039662008012003786,True
noise/myth_game,noise_informed/myth_game,13,15,45.15384615384615,53.0,45.0,56.0,9.709996069445088,9.273618495495704,57.5,0.06798841272400885,0.41025641025641024,1.0,False
