condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_106_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_114_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_113_neutral.json,10,0.13999999999999999,0.21999999999999997,0.0,0.0,0.7,0.0,0.0,32.0,26.0,38.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_112_neutral.json,10,0.18,0.24413111231467402,0.0,0.0,0.9,0.0,0.0,34.0,32.0,36.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_115_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_107_neutral.json,10,0.13999999999999999,0.20099751242241778,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_118_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_119_neutral.json,10,0.16,0.21540659228538017,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_109_neutral.json,10,0.22000000000000003,0.24413111231467405,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_108_neutral.json,10,0.2,0.2529822128134704,0.0,0.0,1.0,0.0,0.0,35.0,35.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_117_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_110_neutral.json,10,0.2,0.2529822128134704,0.0,0.0,1.0,0.0,0.0,35.0,35.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_105_neutral.json,10,0.22000000000000003,0.28913664589601923,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_111_neutral.json,10,0.15,0.21563858652847825,0.0,0.0,0.75,0.0,0.0,32.5,31.5,33.5
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_116_neutral.json,10,0.16,0.23323807579381198,0.0,0.0,0.8,0.0,0.0,33.0,33.0,33.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_101_neutral.json,10,0.18,0.24413111231467402,0.0,0.0,0.9,0.0,0.0,34.0,36.0,32.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_100_neutral.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_097_neutral.json,10,0.13999999999999999,0.23748684174075832,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_090_neutral.json,10,0.13999999999999999,0.21999999999999997,0.0,0.0,0.7,0.0,0.0,32.0,26.0,38.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_091_neutral.json,10,0.18,0.24413111231467402,0.0,0.0,0.9,0.0,0.0,34.0,36.0,32.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_096_neutral.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,29.0,37.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_094_neutral.json,10,0.16,0.23323807579381198,0.0,0.0,0.8,0.0,0.0,33.0,33.0,33.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_093_neutral.json,10,0.2,0.2529822128134704,0.0,0.0,1.0,0.0,0.0,35.0,35.0,35.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_092_neutral.json,10,0.13999999999999999,0.21999999999999997,0.0,0.0,0.7,0.0,0.0,32.0,26.0,38.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_095_neutral.json,10,0.13999999999999999,0.23748684174075832,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_098_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_102_neutral.json,10,0.13999999999999999,0.23748684174075832,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_103_neutral.json,10,0.2,0.2529822128134704,0.0,0.0,1.0,0.0,0.0,35.0,35.0,35.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_104_neutral.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero,noise_deterministic_zero_mem3_099_neutral.json,10,0.13999999999999999,0.23748684174075832,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_147_neutral_anything.json,10,0.26,0.23748684174075832,0.0,0.0,1.3,0.0,0.0,38.0,40.0,36.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_137_neutral_anything.json,10,0.24,0.233238075793812,0.0,0.0,1.2,0.0,0.0,37.0,37.0,37.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_145_neutral_anything.json,10,0.28,0.2039607805437114,0.0,0.0,1.4,0.0,0.0,39.0,39.0,39.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_135_neutral_anything.json,10,0.22000000000000003,0.20880613017821098,0.0,0.0,1.1,0.0,0.0,36.0,30.0,42.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_143_neutral_anything.json,10,0.22000000000000003,0.24413111231467405,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_149_neutral_anything.json,10,0.24000000000000005,0.21540659228538014,0.0,0.0,1.2,0.0,0.0,37.0,33.0,41.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_139_neutral_anything.json,10,0.3,0.18439088914585774,0.0,0.0,1.5,0.0,0.0,40.0,38.0,42.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_141_neutral_anything.json,10,0.22000000000000003,0.20880613017821098,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_136_neutral_anything.json,10,0.3,0.25690465157330256,0.0,0.0,1.5,0.0,0.0,40.0,38.0,42.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_146_neutral_anything.json,10,0.26000000000000006,0.22,0.0,0.0,1.3,0.0,0.0,38.0,36.0,40.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_144_neutral_anything.json,10,0.24000000000000005,0.21540659228538014,0.0,0.0,1.2,0.0,0.0,37.0,37.0,37.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_142_neutral_anything.json,10,0.2,0.21908902300206645,0.0,0.0,1.0,0.0,0.0,35.0,35.0,35.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_140_neutral_anything.json,10,0.4,0.21908902300206645,0.0,0.0,2.0,0.0,0.0,45.0,41.0,49.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_138_neutral_anything.json,10,0.28,0.2039607805437114,0.0,0.0,1.4,0.0,0.0,39.0,35.0,43.0
game_myth,Game → Myth,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_148_neutral_anything.json,10,0.22000000000000003,0.22715633383201095,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game_myth,Game → Myth,noisy_deterministic_zero,noise_deterministic_zero_mem3_129_neutral_anything.json,10,0.22000000000000003,0.24413111231467405,0.0,0.0,1.1,0.0,0.0,36.0,38.0,34.0
game_myth,Game → Myth,noisy_deterministic_zero,noise_deterministic_zero_mem3_121_neutral_anything.json,10,0.2,0.23664319132398465,0.0,0.0,1.0,0.0,0.0,35.0,31.0,39.0
