condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_015_neutral.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,32.0,28.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_024_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_023_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_022_neutral.json,10,0.08,0.16,0.0,0.0,0.4,0.0,0.0,29.0,29.0,29.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_025_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_028_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_019_neutral.json,10,0.12,0.20396078054371142,0.0,0.0,0.6,0.0,0.0,31.0,27.0,35.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_029_neutral.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,28.0,32.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_018_neutral.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,28.0,32.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_016_neutral.json,10,0.08,0.16,0.0,0.0,0.4,0.0,0.0,29.0,29.0,29.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_027_neutral.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_020_neutral.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,28.0,32.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_017_neutral.json,10,0.12,0.24,0.0,0.0,0.6,0.0,0.0,31.0,31.0,31.0
game,Game Only,noisy_deterministic_zero_informed,noise_deterministic_zero_mem3_021_neutral.json,10,0.13999999999999999,0.20099751242241778,0.0,0.0,0.7,0.0,0.0,32.0,30.0,34.0
