condition,label,run,round,avg_sent,avg_returned,avg_return_ratio,mean_balance,path
old_last_self_game,"Previous prompt
last own game",0,1,4.0,6.875,0.5625,6.5,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,2,4.0,7.0,0.576388888888889,13.0,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,3,4.5,7.375,0.5458333333333334,20.0,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,4,4.25,7.5,0.6,26.75,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,5,4.5,7.75,0.575,33.75,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,6,4.25,8.0,0.6180555555555556,40.5,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,7,4.0,7.5,0.6291666666666667,47.0,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,8,4.75,8.125,0.5708333333333333,54.25,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,9,4.5,8.25,0.6041666666666666,61.25,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",0,10,4.25,7.0,0.5625,68.0,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
