condition,label,run,final_mean_balance,avg_sent,avg_returned,full_send_rate,path
old_last_self_game,"Previous prompt
last own game",0,68.0,4.3,7.5375,0.45,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",1,71.0,4.6,7.994999999999999,0.65,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_006_neutral_rep01_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",2,69.25,4.425,7.7625,0.575,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_007_neutral_rep02_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",3,66.0,4.1,8.0125,0.35,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_008_neutral_rep03_myth_game_directive_anything.json
old_last_self_game,"Previous prompt
last own game",4,71.25,4.625,8.525,0.775,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_009_neutral_rep04_myth_game_directive_anything.json
new_self_coplayer_history3,"New prompt
own last 3 games +
co-player's last 3 games",0,72.5,4.75,9.1375,0.775,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything.json
new_self_coplayer_history3,"New prompt
own last 3 games +
co-player's last 3 games",1,73.5,4.85,7.65,0.875,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything.json
new_self_coplayer_history3,"New prompt
own last 3 games +
co-player's last 3 games",2,72.5,4.75,7.825,0.775,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything.json
new_self_coplayer_history3,"New prompt
own last 3 games +
co-player's last 3 games",3,73.25,4.825,8.2875,0.9,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything.json
new_self_coplayer_history3,"New prompt
own last 3 games +
co-player's last 3 games",4,71.0,4.6,8.7125,0.775,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything.json
new_self_coplayer_history3_anonymous,"New prompt, anonymous
own last 3 games +
co-player's last 3 games",0,74.5,4.95,8.1,0.975,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything.json
new_self_coplayer_history3_anonymous,"New prompt, anonymous
own last 3 games +
co-player's last 3 games",1,68.5,4.35,8.15,0.525,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything.json
new_self_coplayer_history3_anonymous,"New prompt, anonymous
own last 3 games +
co-player's last 3 games",2,74.25,4.925,9.7125,0.95,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_002_neutral_rep02_myth_game_directive_anything.json
new_self_coplayer_history3_anonymous,"New prompt, anonymous
own last 3 games +
co-player's last 3 games",3,73.75,4.875,8.1625,0.9,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_003_neutral_rep03_myth_game_directive_anything.json
new_self_coplayer_history3_anonymous,"New prompt, anonymous
own last 3 games +
co-player's last 3 games",4,74.5,4.95,9.6125,0.975,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_004_neutral_rep04_myth_game_directive_anything.json
