Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Game Only,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
Game Only,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_001_neutral_rep01.json
Game Only,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_002_neutral_rep02.json
Game Only,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_003_neutral_rep03.json
Game Only,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_004_neutral_rep04.json
Myth-Game Directive,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,75.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,75.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,75.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,10,65.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything.json
Normative Directive,No Noise,10,75.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything.json
Normative Directive,No Noise,10,75.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything.json
Normative Directive,No Noise,10,65.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_012_neutral_rep02_myth_game_normative_anything.json
Normative Directive,No Noise,10,55.0,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_013_neutral_rep03_myth_game_normative_anything.json
Normative Directive,No Noise,10,69.5,data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_014_neutral_rep04_myth_game_normative_anything.json
Game Only,"Informed Negative U(0,2)",10,32.5,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_000_neutral_rep00.json
Game Only,"Informed Negative U(0,2)",10,32.2,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_001_neutral_rep01.json
Game Only,"Informed Negative U(0,2)",10,32.5,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_002_neutral_rep02.json
Game Only,"Informed Negative U(0,2)",10,33.5,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_003_neutral_rep03.json
Game Only,"Informed Negative U(0,2)",10,32.7,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_004_neutral_rep04.json
Myth-Game Directive,"Informed Negative U(0,2)",10,40.5,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",10,45.0,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_006_neutral_rep01_myth_game_directive_anything.json
