run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,3.33,9.0,0.37,5.5
0,game_only,Game Only,2,2.5,0.0,7.5,0.0,10.5
0,game_only,Game Only,3,2.0,0.0,6.0,0.0,15.0
0,game_only,Game Only,4,0.0,0.0,0.0,,17.5
0,game_only,Game Only,5,0.0,0.0,0.0,,20.0
0,game_only,Game Only,6,0.0,0.0,0.0,,22.5
0,game_only,Game Only,7,0.0,0.0,0.0,,25.0
0,game_only,Game Only,8,0.0,0.0,0.0,,27.5
0,game_only,Game Only,9,0.0,0.0,0.0,,30.0
0,game_only,Game Only,10,0.0,0.0,0.0,,32.5
1,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
1,game_only,Game Only,2,2.2,0.0,6.6000000000000005,0.0,10.200000000000001
1,game_only,Game Only,3,2.0,0.0,6.0,0.0,14.700000000000001
1,game_only,Game Only,4,0.0,0.0,0.0,,17.200000000000003
1,game_only,Game Only,5,0.0,0.0,0.0,,19.700000000000003
1,game_only,Game Only,6,0.0,0.0,0.0,,22.200000000000003
1,game_only,Game Only,7,0.0,0.0,0.0,,24.700000000000003
1,game_only,Game Only,8,0.0,0.0,0.0,,27.200000000000003
1,game_only,Game Only,9,0.0,0.0,0.0,,29.700000000000003
1,game_only,Game Only,10,0.0,0.0,0.0,,32.2
2,game_only,Game Only,1,3.0,2.0,9.0,0.2222222222222222,5.5
2,game_only,Game Only,2,2.0,0.0,6.0,0.0,10.0
2,game_only,Game Only,3,1.0,0.0,3.0,0.0,13.5
2,game_only,Game Only,4,1.5,0.0,4.5,0.0,17.5
2,game_only,Game Only,5,0.0,0.0,0.0,,20.0
2,game_only,Game Only,6,0.0,0.0,0.0,,22.5
2,game_only,Game Only,7,0.0,0.0,0.0,,25.0
2,game_only,Game Only,8,0.0,0.0,0.0,,27.5
2,game_only,Game Only,9,0.0,0.0,0.0,,30.0
2,game_only,Game Only,10,0.0,0.0,0.0,,32.5
3,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
3,game_only,Game Only,2,2.5,0.0,7.5,0.0,10.5
3,game_only,Game Only,3,2.0,0.0,6.0,0.0,15.0
3,game_only,Game Only,4,1.0,0.0,3.0,0.0,18.5
3,game_only,Game Only,5,0.0,0.0,0.0,,21.0
3,game_only,Game Only,6,0.0,0.0,0.0,,23.5
3,game_only,Game Only,7,0.0,0.0,0.0,,26.0
3,game_only,Game Only,8,0.0,0.0,0.0,,28.5
3,game_only,Game Only,9,0.0,0.0,0.0,,31.0
3,game_only,Game Only,10,0.0,0.0,0.0,,33.5
4,game_only,Game Only,1,3.0,3.0,9.0,0.3333333333333333,5.5
4,game_only,Game Only,2,2.7,0.0,8.100000000000001,0.0,10.700000000000001
4,game_only,Game Only,3,2.0,0.0,6.0,0.0,15.200000000000001
4,game_only,Game Only,4,0.0,0.0,0.0,,17.700000000000003
4,game_only,Game Only,5,0.0,0.0,0.0,,20.200000000000003
4,game_only,Game Only,6,0.0,0.0,0.0,,22.700000000000003
4,game_only,Game Only,7,0.0,0.0,0.0,,25.200000000000003
4,game_only,Game Only,8,0.0,0.0,0.0,,27.700000000000003
4,game_only,Game Only,9,0.0,0.0,0.0,,30.200000000000003
4,game_only,Game Only,10,0.0,0.0,0.0,,32.7
5,myth_game_directive,Myth-Game Directive,1,5.0,7.0,15.0,0.4666666666666667,7.5
