condition,Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
game_only,Game Only,No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
game_only,Game Only,No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_001_neutral_rep01.json
game_only,Game Only,No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_002_neutral_rep02.json
game_only,Game Only,No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_003_neutral_rep03.json
game_only,Game Only,No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_004_neutral_rep04.json
myth_game_directive,"Myth-Game
Directive",No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
myth_game_directive,"Myth-Game
Directive",No Noise,10,75.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything.json
myth_game_directive,"Myth-Game
Directive",No Noise,10,75.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything.json
myth_game_directive,"Myth-Game
Directive",No Noise,10,75.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything.json
myth_game_directive,"Myth-Game
Directive",No Noise,10,65.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything.json
myth_game_normative,"Normative
Directive",No Noise,10,75.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_010_neutral_rep00_myth_game_normative_anything.json
myth_game_normative,"Normative
Directive",No Noise,10,75.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_011_neutral_rep01_myth_game_normative_anything.json
myth_game_normative,"Normative
Directive",No Noise,10,65.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_012_neutral_rep02_myth_game_normative_anything.json
myth_game_normative,"Normative
Directive",No Noise,10,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_013_neutral_rep03_myth_game_normative_anything.json
myth_game_normative,"Normative
Directive",No Noise,10,69.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_directive_normative_r10_n5_014_neutral_rep04_myth_game_normative_anything.json
