run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
0,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
0,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
0,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
0,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
0,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
0,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
0,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
0,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
0,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
0,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
1,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
1,game_only,Game Only,2,3.0,5.0,9.0,0.5555555555555556,11.0
1,game_only,Game Only,3,3.0,5.0,9.0,0.5555555555555556,16.5
1,game_only,Game Only,4,3.0,5.0,9.0,0.5555555555555556,22.0
1,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
1,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
1,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
1,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
1,game_only,Game Only,9,3.0,5.0,9.0,0.5555555555555556,49.5
1,game_only,Game Only,10,3.0,5.0,9.0,0.5555555555555556,55.0
2,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
2,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
2,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
2,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
2,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
2,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
2,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
2,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
2,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
2,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
3,game_only,Game Only,1,3.0,5.0,9.0,0.5555555555555556,5.5
3,game_only,Game Only,2,3.0,5.0,9.0,0.5555555555555556,11.0
3,game_only,Game Only,3,3.0,5.0,9.0,0.5555555555555556,16.5
3,game_only,Game Only,4,3.0,5.0,9.0,0.5555555555555556,22.0
3,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
3,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
3,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
3,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
3,game_only,Game Only,9,3.0,5.0,9.0,0.5555555555555556,49.5
3,game_only,Game Only,10,3.0,5.0,9.0,0.5555555555555556,55.0
4,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
4,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
4,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
4,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
4,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
4,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
4,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
4,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
4,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
4,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
5,myth_game_directive,Myth-Game Directive,1,3.0,6.0,9.0,0.6666666666666666,5.5
5,myth_game_directive,Myth-Game Directive,2,3.0,6.0,9.0,0.6666666666666666,11.0
5,myth_game_directive,Myth-Game Directive,3,3.0,6.0,9.0,0.6666666666666666,16.5
5,myth_game_directive,Myth-Game Directive,4,3.0,6.0,9.0,0.6666666666666666,22.0
5,myth_game_directive,Myth-Game Directive,5,3.0,6.0,9.0,0.6666666666666666,27.5
5,myth_game_directive,Myth-Game Directive,6,3.0,6.0,9.0,0.6666666666666666,33.0
5,myth_game_directive,Myth-Game Directive,7,3.0,6.0,9.0,0.6666666666666666,38.5
5,myth_game_directive,Myth-Game Directive,8,3.0,6.0,9.0,0.6666666666666666,44.0
5,myth_game_directive,Myth-Game Directive,9,3.0,6.0,9.0,0.6666666666666666,49.5
5,myth_game_directive,Myth-Game Directive,10,3.0,6.0,9.0,0.6666666666666666,55.0
6,myth_game_directive,Myth-Game Directive,1,5.0,8.0,15.0,0.5333333333333333,7.5
6,myth_game_directive,Myth-Game Directive,2,5.0,8.0,15.0,0.5333333333333333,15.0
6,myth_game_directive,Myth-Game Directive,3,5.0,8.0,15.0,0.5333333333333333,22.5
6,myth_game_directive,Myth-Game Directive,4,5.0,8.0,15.0,0.5333333333333333,30.0
6,myth_game_directive,Myth-Game Directive,5,5.0,8.0,15.0,0.5333333333333333,37.5
6,myth_game_directive,Myth-Game Directive,6,5.0,8.0,15.0,0.5333333333333333,45.0
6,myth_game_directive,Myth-Game Directive,7,5.0,8.0,15.0,0.5333333333333333,52.5
6,myth_game_directive,Myth-Game Directive,8,5.0,8.0,15.0,0.5333333333333333,60.0
6,myth_game_directive,Myth-Game Directive,9,5.0,8.0,15.0,0.5333333333333333,67.5
6,myth_game_directive,Myth-Game Directive,10,5.0,8.0,15.0,0.5333333333333333,75.0
7,myth_game_directive,Myth-Game Directive,1,5.0,10.0,15.0,0.6666666666666666,7.5
7,myth_game_directive,Myth-Game Directive,2,5.0,10.0,15.0,0.6666666666666666,15.0
7,myth_game_directive,Myth-Game Directive,3,5.0,10.0,15.0,0.6666666666666666,22.5
7,myth_game_directive,Myth-Game Directive,4,5.0,10.0,15.0,0.6666666666666666,30.0
7,myth_game_directive,Myth-Game Directive,5,5.0,10.0,15.0,0.6666666666666666,37.5
7,myth_game_directive,Myth-Game Directive,6,5.0,10.0,15.0,0.6666666666666666,45.0
7,myth_game_directive,Myth-Game Directive,7,5.0,10.0,15.0,0.6666666666666666,52.5
7,myth_game_directive,Myth-Game Directive,8,5.0,10.0,15.0,0.6666666666666666,60.0
7,myth_game_directive,Myth-Game Directive,9,5.0,10.0,15.0,0.6666666666666666,67.5
7,myth_game_directive,Myth-Game Directive,10,5.0,10.0,15.0,0.6666666666666666,75.0
8,myth_game_directive,Myth-Game Directive,1,5.0,10.0,15.0,0.6666666666666666,7.5
8,myth_game_directive,Myth-Game Directive,2,5.0,10.0,15.0,0.6666666666666666,15.0
8,myth_game_directive,Myth-Game Directive,3,5.0,10.0,15.0,0.6666666666666666,22.5
8,myth_game_directive,Myth-Game Directive,4,5.0,10.0,15.0,0.6666666666666666,30.0
8,myth_game_directive,Myth-Game Directive,5,5.0,10.0,15.0,0.6666666666666666,37.5
8,myth_game_directive,Myth-Game Directive,6,5.0,10.0,15.0,0.6666666666666666,45.0
8,myth_game_directive,Myth-Game Directive,7,5.0,10.0,15.0,0.6666666666666666,52.5
8,myth_game_directive,Myth-Game Directive,8,5.0,10.0,15.0,0.6666666666666666,60.0
8,myth_game_directive,Myth-Game Directive,9,5.0,10.0,15.0,0.6666666666666666,67.5
8,myth_game_directive,Myth-Game Directive,10,5.0,10.0,15.0,0.6666666666666666,75.0
9,myth_game_directive,Myth-Game Directive,1,4.0,8.0,12.0,0.6666666666666666,6.5
9,myth_game_directive,Myth-Game Directive,2,4.0,8.0,12.0,0.6666666666666666,13.0
9,myth_game_directive,Myth-Game Directive,3,4.0,8.0,12.0,0.6666666666666666,19.5
9,myth_game_directive,Myth-Game Directive,4,4.0,8.0,12.0,0.6666666666666666,26.0
9,myth_game_directive,Myth-Game Directive,5,4.0,8.0,12.0,0.6666666666666666,32.5
9,myth_game_directive,Myth-Game Directive,6,4.0,8.0,12.0,0.6666666666666666,39.0
9,myth_game_directive,Myth-Game Directive,7,4.0,8.0,12.0,0.6666666666666666,45.5
9,myth_game_directive,Myth-Game Directive,8,4.0,8.0,12.0,0.6666666666666666,52.0
9,myth_game_directive,Myth-Game Directive,9,4.0,8.0,12.0,0.6666666666666666,58.5
