plot,model,source,Task Order,condition,n
a1_partner_myth_multi_condition,gpt-5-nano,Baseline,Game -> Myth,No Noise,15
a1_partner_myth_multi_condition,gpt-5-nano,Baseline,Game Only,No Noise,15
a1_partner_myth_multi_condition,gpt-5-nano,Baseline,Myth -> Game,No Noise,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Game -> Myth,Bootstrap,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Game -> Myth,Negative -5,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Game -> Myth,No Noise,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Game -> Myth,Positive +5,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Game -> Myth,Positive +5 Informed,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Myth -> Game,Bootstrap,13
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Myth -> Game,Negative -5,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Myth -> Game,No Noise,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Myth -> Game,Positive +5,15
a1_partner_myth_multi_condition,gpt-5-nano,a1_partner_myth_multi_condition,Myth -> Game,Positive +5 Informed,15
a1_targeted_bootstrap,gpt-5-nano,Baseline,Game -> Myth,No Noise,15
a1_targeted_bootstrap,gpt-5-nano,Baseline,Game Only,No Noise,15
a1_targeted_bootstrap,gpt-5-nano,Baseline,Myth -> Game,No Noise,15
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Game -> Myth,Bootstrap,10
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Game -> Myth,Bootstrap Informed,10
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Game Only,Bootstrap,10
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Game Only,Bootstrap Informed,10
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Myth -> Game,Bootstrap,10
a1_targeted_bootstrap,gpt-5-nano,a1_targeted_bootstrap,Myth -> Game,Bootstrap Informed,10
a1a3_combined_multi_condition,gpt-5-nano,Baseline,Game -> Myth,No Noise,15
a1a3_combined_multi_condition,gpt-5-nano,Baseline,Game Only,No Noise,15
a1a3_combined_multi_condition,gpt-5-nano,Baseline,Myth -> Game,No Noise,15
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Game -> Myth,Bootstrap,9
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Game -> Myth,Negative -5,10
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Game -> Myth,Positive +5,9
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Game -> Myth,Positive +5 Informed,9
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Myth -> Game,Bootstrap,10
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Myth -> Game,Negative -5,9
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Myth -> Game,Positive +5,9
a1a3_combined_multi_condition,gpt-5-nano,a1a3_combined_multi_condition,Myth -> Game,Positive +5 Informed,9
a3_forced_reasoning_multi_condition,gpt-5-nano,Baseline,Game -> Myth,No Noise,15
a3_forced_reasoning_multi_condition,gpt-5-nano,Baseline,Game Only,No Noise,15
a3_forced_reasoning_multi_condition,gpt-5-nano,Baseline,Myth -> Game,No Noise,15
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game -> Myth,Bootstrap,9
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game -> Myth,Negative -5,10
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game -> Myth,Positive +5,8
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game -> Myth,Positive +5 Informed,9
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game Only,Bootstrap,9
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game Only,Negative -5,10
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game Only,Positive +5,8
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Game Only,Positive +5 Informed,10
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Myth -> Game,Bootstrap,8
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Myth -> Game,Negative -5,10
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Myth -> Game,Positive +5,10
a3_forced_reasoning_multi_condition,gpt-5-nano,a3_forced_reasoning_multi_condition,Myth -> Game,Positive +5 Informed,10
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Bootstrap,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Bootstrap Informed,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Negative -5,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Negative -5 Informed,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,No Noise,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Positive +5,15
control_sources,gpt-5-nano,Adversarial,Game -> Myth,Positive +5 Informed,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Bootstrap,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Bootstrap Informed,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Negative -5,14
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Negative -5 Informed,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,No Noise,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Positive +5,15
control_sources,gpt-5-nano,Adversarial,Myth -> Game,Positive +5 Informed,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Bootstrap,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Bootstrap Informed,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Negative -5,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Negative -5 Informed,15
control_sources,gpt-5-nano,Filler,Game -> Myth,No Noise,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Positive +5,15
control_sources,gpt-5-nano,Filler,Game -> Myth,Positive +5 Informed,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Bootstrap,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Bootstrap Informed,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Negative -5,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Negative -5 Informed,15
control_sources,gpt-5-nano,Filler,Myth -> Game,No Noise,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Positive +5,15
control_sources,gpt-5-nano,Filler,Myth -> Game,Positive +5 Informed,15
control_sources,gpt-5-nano,Own,Game -> Myth,Bootstrap,15
control_sources,gpt-5-nano,Own,Game -> Myth,Bootstrap Informed,15
control_sources,gpt-5-nano,Own,Game -> Myth,Negative -5,15
control_sources,gpt-5-nano,Own,Game -> Myth,Negative -5 Informed,15
control_sources,gpt-5-nano,Own,Game -> Myth,No Noise,15
control_sources,gpt-5-nano,Own,Game -> Myth,Positive +5,15
control_sources,gpt-5-nano,Own,Game -> Myth,Positive +5 Informed,15
control_sources,gpt-5-nano,Own,Myth -> Game,Bootstrap,15
control_sources,gpt-5-nano,Own,Myth -> Game,Bootstrap Informed,15
control_sources,gpt-5-nano,Own,Myth -> Game,Negative -5,15
control_sources,gpt-5-nano,Own,Myth -> Game,Negative -5 Informed,15
control_sources,gpt-5-nano,Own,Myth -> Game,No Noise,15
control_sources,gpt-5-nano,Own,Myth -> Game,Positive +5,15
control_sources,gpt-5-nano,Own,Myth -> Game,Positive +5 Informed,15
control_sources,gpt-5-nano,Partner,Game -> Myth,Bootstrap,15
control_sources,gpt-5-nano,Partner,Game -> Myth,Negative -5,15
control_sources,gpt-5-nano,Partner,Game -> Myth,No Noise,15
control_sources,gpt-5-nano,Partner,Game -> Myth,Positive +5,15
control_sources,gpt-5-nano,Partner,Game -> Myth,Positive +5 Informed,15
control_sources,gpt-5-nano,Partner,Myth -> Game,Bootstrap,13
control_sources,gpt-5-nano,Partner,Myth -> Game,Negative -5,15
control_sources,gpt-5-nano,Partner,Myth -> Game,No Noise,15
control_sources,gpt-5-nano,Partner,Myth -> Game,Positive +5,15
control_sources,gpt-5-nano,Partner,Myth -> Game,Positive +5 Informed,15
control_sources,gpt-5-nano,Shuffled,Game -> Myth,Bootstrap,15
