plot,run,model,source,task_order,Task Order,condition,condition_key,mean_balance_r10,path
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,58.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_000_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_001_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,68.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_002_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,75.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_003_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_004_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_005_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_006_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,74.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_007_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,64.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_008_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_009_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,65.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_010_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,64.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_011_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_012_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_013_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game,Game Only,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game/default/baseline_v4_mem3_direct_014_neutral.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_015_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,73.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_016_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,63.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_017_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,73.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_018_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,70.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_019_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,74.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_020_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_021_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,69.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_022_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,71.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_023_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_024_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,69.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_025_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_026_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,74.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_027_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,70.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_028_neutral_anything.json
main_signed_noise_gpt5nano,Cumulative Balance at Round 10: gpt-5-nano (signed noise),gpt-5-nano,Baseline,game_myth,Game -> Myth,No Noise,forced,72.0,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/gpt-5-nano/game_myth/default/baseline_v4_mem3_direct_029_neutral_anything.json
