contrast_type,metric,population,contrast,condition_a,condition_b,estimate,ci_low,ci_high,p_value,df,p_holm_six_tests
within_population,final_balance,2-agent repeated dyad,Game → Myth − Game only,game_myth,game,-1.9119999999999848,-6.758457332963166,2.9344573329631967,0.4067087810984069,11.943989207502756,0.5265249313949039
within_population,final_balance,2-agent repeated dyad,Myth → Game − Game only,myth_game,game,4.970000000000013,0.8151038336637155,9.12489616633631,0.02266180270460356,13.053724721967962,0.07978349399552441
within_population,final_balance,2-agent repeated dyad,Myth → Game − Game → Myth,myth_game,game_myth,6.881999999999998,1.2242997424707758,12.53970025752922,0.019945873498881102,17.483910997151998,0.07978349399552441
within_population,final_balance,8-agent rotating population,Game → Myth − Game only,game_myth,game,1.2475000000000023,-1.025425319004289,3.5204253190042936,0.26326246569745193,17.34072374122585,0.5265249313949039
within_population,final_balance,8-agent rotating population,Myth → Game − Game only,myth_game,game,7.066250000000004,4.859632773571651,9.272867226428357,2.883959086389761e-06,17.614910603284894,1.7303754518338566e-05
within_population,final_balance,8-agent rotating population,Myth → Game − Game → Myth,myth_game,game_myth,5.818750000000001,3.398474142285131,8.239025857714871,8.358041329593586e-05,17.95771195880989,0.0004179020664796793
population_regime_interaction,final_balance,8-agent contrast − 2-agent contrast,Game → Myth − Game only,game_myth,game,3.159499999999987,-2.0415460516299175,8.360546051629893,0.21769721193954647,17.561591687495316,
population_regime_interaction,final_balance,8-agent contrast − 2-agent contrast,Myth → Game − Game only,myth_game,game,2.0962499999999906,-2.4659387937135344,6.658438793713516,0.3498345144839231,20.613135409816277,
population_regime_interaction,final_balance,8-agent contrast − 2-agent contrast,Myth → Game − Game → Myth,myth_game,game_myth,-1.0632499999999965,-7.101271934392262,4.974771934392269,0.7193295414646232,23.718688448705517,
within_population,mean_trust_ratio,2-agent repeated dyad,Game → Myth − Game only,game_myth,game,-0.03824000000000005,-0.13516914665926366,0.05868914665926357,0.4067087810984028,11.943989207502753,0.5265249313949043
within_population,mean_trust_ratio,2-agent repeated dyad,Myth → Game − Game only,myth_game,game,0.09939999999999982,0.016302076673273866,0.18249792332672576,0.022661802704604085,13.053724721967965,0.07978349399552467
within_population,mean_trust_ratio,2-agent repeated dyad,Myth → Game − Game → Myth,myth_game,game_myth,0.13763999999999987,0.024485994849415424,0.2507940051505843,0.01994587349888117,17.483910997151998,0.07978349399552467
within_population,mean_trust_ratio,8-agent rotating population,Game → Myth − Game only,game_myth,game,0.024950000000000028,-0.020508506380085806,0.07040850638008586,0.26326246569745215,17.34072374122585,0.5265249313949043
within_population,mean_trust_ratio,8-agent rotating population,Myth → Game − Game only,myth_game,game,0.14132500000000003,0.09719265547143296,0.1854573445285671,2.8839590863897714e-06,17.614910603284894,1.730375451833863e-05
within_population,mean_trust_ratio,8-agent rotating population,Myth → Game − Game → Myth,myth_game,game_myth,0.116375,0.0679694828457026,0.16478051715429742,8.358041329593599e-05,17.957711958809895,0.00041790206647967994
population_regime_interaction,mean_trust_ratio,8-agent contrast − 2-agent contrast,Game → Myth − Game only,game_myth,game,0.06319000000000008,-0.04083092103259804,0.16721092103259821,0.21769721193954425,17.561591687495312,
population_regime_interaction,mean_trust_ratio,8-agent contrast − 2-agent contrast,Myth → Game − Game only,myth_game,game,0.04192500000000021,-0.04931877587427029,0.13316877587427073,0.34983451448391845,20.61313540981628,
population_regime_interaction,mean_trust_ratio,8-agent contrast − 2-agent contrast,Myth → Game − Game → Myth,myth_game,game_myth,-0.021264999999999867,-0.14202543868784517,0.09949543868784542,0.7193295414646241,23.718688448705517,
within_population,mean_return_ratio,2-agent repeated dyad,Game → Myth − Game only,game_myth,game,-0.02242229657577738,-0.06876291722001537,0.023918324068460624,0.3221122150409889,17.383627134933352,0.9663366451229667
within_population,mean_return_ratio,2-agent repeated dyad,Myth → Game − Game only,myth_game,game,0.0156483213718972,-0.02776670326489601,0.05906334600869041,0.45856280940088645,17.888112654004853,0.9663366451229667
within_population,mean_return_ratio,2-agent repeated dyad,Myth → Game − Game → Myth,myth_game,game_myth,0.03807061794767458,-0.00977832010182069,0.08591955599716986,0.11181758251150577,17.781451348054304,0.44727033004602307
within_population,mean_return_ratio,8-agent rotating population,Game → Myth − Game only,game_myth,game,0.027706127699490768,0.002256349551587617,0.05315590584739392,0.03487044661599052,14.604744277834056,0.20922267969594313
within_population,mean_return_ratio,8-agent rotating population,Myth → Game − Game only,myth_game,game,0.0033076857036725693,-0.019386770218894265,0.026002141626239404,0.7612822091328426,15.949831223589564,0.9663366451229667
within_population,mean_return_ratio,8-agent rotating population,Myth → Game − Game → Myth,myth_game,game_myth,-0.0243984419958182,-0.05286191217418211,0.0040650281825457164,0.0884059883445609,17.606625320125676,0.4420299417228045
population_regime_interaction,mean_return_ratio,8-agent contrast − 2-agent contrast,Game → Myth − Game only,game_myth,game,0.050128424275268146,-0.0012635685894113388,0.10152041713994764,0.05548519751601904,26.371746454516565,
population_regime_interaction,mean_return_ratio,8-agent contrast − 2-agent contrast,Myth → Game − Game only,myth_game,game,-0.012340635668224631,-0.06010470517454765,0.035423433838098387,0.6001828082801703,26.629954911350744,
population_regime_interaction,mean_return_ratio,8-agent contrast − 2-agent contrast,Myth → Game − Game → Myth,myth_game,game_myth,-0.06246905994349278,-0.11661654319031564,-0.008321576696669913,0.025246942418124814,28.92090632525758,
