model,population,num_agents,condition,condition_label,n,mean,sd,ci_low,ci_high
Claude Sonnet 4.5,2-agent repeated dyad,2,game,Game only,10,64.85499999999999,2.6675467297791724,62.946752024805846,66.76324797519413
Claude Sonnet 4.5,2-agent repeated dyad,2,game_myth,Game → Myth,10,62.943000000000005,6.504642871740837,58.289858800712366,67.59614119928764
Claude Sonnet 4.5,2-agent repeated dyad,2,myth_game,Myth → Game,10,69.825,5.468406735258655,65.91313747717957,73.73686252282043
Claude Sonnet 4.5,8-agent rotating population,8,game,Game only,10,59.25875,2.164598772803454,57.710289319181165,60.807210680818834
Claude Sonnet 4.5,8-agent rotating population,8,game_myth,Game → Myth,10,60.50625,2.6372811257260973,58.61965273367913,62.39284726632087
Claude Sonnet 4.5,8-agent rotating population,8,myth_game,Myth → Game,10,66.325,2.512261597312934,64.5278363167129,68.12216368328711
GPT-5 Nano,2-agent repeated dyad,2,game,Game only,5,67.1,7.845380806563821,57.35867310029087,76.84132689970912
GPT-5 Nano,2-agent repeated dyad,2,game_myth,Game → Myth,5,63.970000000000006,9.604389621417907,52.04457518236349,75.89542481763652
GPT-5 Nano,2-agent repeated dyad,2,myth_game,Myth → Game,5,66.2,5.415256226624924,59.47607130235106,72.92392869764895
GPT-5 Nano,8-agent rotating population,8,game,Game only,5,62.6375,1.2345925441213388,61.10455088551374,64.17044911448626
GPT-5 Nano,8-agent rotating population,8,game_myth,Game → Myth,5,62.339999999999996,1.1718841666308142,60.88491362022949,63.7950863797705
GPT-5 Nano,8-agent rotating population,8,myth_game,Myth → Game,5,66.2625,1.0235508047967135,64.99159381535144,67.53340618464857
Gemini 3.7 Flash,2-agent repeated dyad,2,game,Game only,3,75.0,0.0,75.0,75.0
Gemini 3.7 Flash,2-agent repeated dyad,2,game_myth,Game → Myth,3,75.0,0.0,75.0,75.0
Gemini 3.7 Flash,2-agent repeated dyad,2,myth_game,Myth → Game,3,75.0,0.0,75.0,75.0
Gemini 3.7 Flash,8-agent rotating population,8,game,Game only,3,75.0,0.0,75.0,75.0
Gemini 3.7 Flash,8-agent rotating population,8,game_myth,Game → Myth,3,75.0,0.0,75.0,75.0
Gemini 3.7 Flash,8-agent rotating population,8,myth_game,Myth → Game,3,75.0,0.0,75.0,75.0
