condition,condition_label,metric,n,mean,sd,ci_low,ci_high
game,Game only,final_balance,5,62.6375,1.2345925441213388,61.10455088551374,64.17044911448626
game,Game only,mean_trust_ratio,5,0.7527499999999999,0.02469185088242681,0.7220910177102746,0.7834089822897252
game,Game only,mean_return_ratio,5,0.3870612617122872,0.038614169882772345,0.33911543714832465,0.4350070862762498
game,Game only,return_over_sent,5,1.1675241147068012,0.11871852309816196,1.0201155986558912,1.3149326307577112
game,Game only,mean_sent,5,3.7637500000000004,0.12345925441213386,3.610455088551374,3.9170449114486265
game,Game only,mean_returned,5,4.391324999999999,0.42975935853684405,3.8577082766136552,4.924941723386343
game_myth,Game → Myth,final_balance,5,62.7025,1.4749046579355576,60.87116398545838,64.53383601454162
game_myth,Game → Myth,mean_trust_ratio,5,0.75405,0.029498093158711183,0.7174232797091675,0.7906767202908325
game_myth,Game → Myth,mean_return_ratio,5,0.36920927715530655,0.025516020670641515,0.33752695291114787,0.4008916013994652
game_myth,Game → Myth,return_over_sent,5,1.1062319796892175,0.0793005614338015,1.00776732751952,1.204696631858915
game_myth,Game → Myth,mean_sent,5,3.77025,0.14749046579355551,3.587116398545838,3.9533836014541617
game_myth,Game → Myth,mean_returned,5,4.1754,0.41183327178604706,3.6640414531607983,4.686758546839202
myth_game,Myth → Game,final_balance,5,65.5125,1.034936592260608,64.22745649296631,66.7975435070337
myth_game,Myth → Game,mean_trust_ratio,5,0.8102499999999999,0.020698731845212127,0.7845491298593262,0.8359508701406736
myth_game,Myth → Game,mean_return_ratio,5,0.4042003653427183,0.0539596876683665,0.3372005638105879,0.4712001668748487
myth_game,Myth → Game,return_over_sent,5,1.2053678473448521,0.1670244456616484,0.997979606346842,1.4127560883428623
myth_game,Myth → Game,mean_sent,5,4.0512500000000005,0.10349365922606077,3.9227456492966315,4.179754350703369
myth_game,Myth → Game,mean_returned,5,4.889450000000001,0.735364352719113,3.9763745576662624,5.80252544233374
