metric,contrast,label,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz,holm_p_value
direct_target_coop_density,ordinary substitute − defector myth,Directly exposed myth: cooperation,False,10,0.1448615641641257,0.029669716054437578,0.26005341227381384,0.01925129563393155,0.8996098425159723,
direct_sender_send_ratio,ordinary substitute − defector myth,Directly exposed sender: proportion sent,False,10,-0.02666666666666666,-0.08860309339126471,0.03526976005793138,0.35552067631251283,-0.30799620140360723,
direct_target_threat_density,ordinary substitute − defector myth,Directly exposed myth: threat,True,10,-0.011728715981080332,-0.06394084240051008,0.04048341043834941,0.6235604494848337,-0.1606948146114839,
direct_target_half_rule,ordinary substitute − defector myth,Directly exposed myth: half rule,False,10,0.00625,-0.061882555683050934,0.07438255568305094,0.8402276669135291,0.06562179588897107,
direct_receiver_return_ratio,ordinary substitute − defector myth,Directly exposed receiver: return ratio,False,10,-0.0004959126984126983,-0.03680360453547518,0.03581177913864979,0.9760252888357075,-0.0097707828734711,
presented_coop_density,ordinary substitute − defector myth,Presented myth: cooperation,False,10,0.5207245053235863,0.2367200590947276,0.804728951552445,0.0024929593550570865,1.311612814330433,
presented_threat_density,ordinary substitute − defector myth,Presented myth: threat,False,10,-0.05541274407014857,-0.11661300795195045,0.005787519811653319,0.07081601995313178,-0.647707814249021,
population_standard_send_ratio,ordinary substitute − defector myth,All ordinary senders,False,10,-0.0033333333333333327,-0.016100370353387655,0.009433703686720989,0.5693044178191784,-0.18677184190940702,
population_standard_myth_coop_density,ordinary substitute − defector myth,All ordinary-authored myths: cooperation,False,10,0.021471286463455287,-0.10912528047193257,0.15206785339884313,0.7185585611421879,0.1176113079579329,
population_standard_myth_threat_density,ordinary substitute − defector myth,All ordinary-authored myths: threat,False,10,-0.01735039400114272,-0.05897660494280929,0.02427581694052385,0.3703530531207655,-0.29817088535224695,
defector_post_coop_density,ordinary substitute − defector myth,Defector myths rounds 2–10: cooperation,False,10,-0.22649033736292634,-0.5335215569345668,0.08054088220871408,0.12951128011496682,-0.5277034276782834,
defector_post_threat_density,ordinary substitute − defector myth,Defector myths rounds 2–10: threat,False,10,0.02722499943449631,-0.03534303356237965,0.08979303243137228,0.35067638380718824,0.31127063498972396,
