policy,policy_label,replicate_id,round,standard_send_ratio
normal,Defector myth,50,1,1.0
normal,Defector myth,50,2,1.0
normal,Defector myth,50,3,1.0
normal,Defector myth,50,4,1.0
normal,Defector myth,50,5,1.0
normal,Defector myth,50,6,1.0
normal,Defector myth,50,7,1.0
normal,Defector myth,50,8,1.0
normal,Defector myth,50,9,1.0
normal,Defector myth,50,10,1.0
normal,Defector myth,51,1,1.0
normal,Defector myth,51,2,1.0
normal,Defector myth,51,3,1.0
normal,Defector myth,51,4,1.0
normal,Defector myth,51,5,1.0
normal,Defector myth,51,6,1.0
normal,Defector myth,51,7,1.0
normal,Defector myth,51,8,1.0
normal,Defector myth,51,9,1.0
normal,Defector myth,51,10,1.0
normal,Defector myth,52,1,1.0
normal,Defector myth,52,2,1.0
normal,Defector myth,52,3,1.0
normal,Defector myth,52,4,1.0
normal,Defector myth,52,5,1.0
normal,Defector myth,52,6,1.0
normal,Defector myth,52,7,1.0
normal,Defector myth,52,8,1.0
normal,Defector myth,52,9,1.0
normal,Defector myth,52,10,1.0
normal,Defector myth,53,1,1.0
normal,Defector myth,53,2,1.0
normal,Defector myth,53,3,1.0
normal,Defector myth,53,4,1.0
normal,Defector myth,53,5,1.0
normal,Defector myth,53,6,1.0
normal,Defector myth,53,7,1.0
normal,Defector myth,53,8,1.0
normal,Defector myth,53,9,1.0
normal,Defector myth,53,10,1.0
normal,Defector myth,54,1,1.0
normal,Defector myth,54,2,1.0
normal,Defector myth,54,3,1.0
normal,Defector myth,54,4,1.0
normal,Defector myth,54,5,1.0
normal,Defector myth,54,6,1.0
normal,Defector myth,54,7,1.0
normal,Defector myth,54,8,1.0
normal,Defector myth,54,9,1.0
normal,Defector myth,54,10,1.0
normal,Defector myth,55,1,1.0
normal,Defector myth,55,2,0.7333333333333334
normal,Defector myth,55,3,1.0
normal,Defector myth,55,4,1.0
normal,Defector myth,55,5,1.0
normal,Defector myth,55,6,1.0
normal,Defector myth,55,7,1.0
normal,Defector myth,55,8,1.0
normal,Defector myth,55,9,1.0
normal,Defector myth,55,10,1.0
normal,Defector myth,56,1,1.0
normal,Defector myth,56,2,1.0
normal,Defector myth,56,3,1.0
normal,Defector myth,56,4,1.0
normal,Defector myth,56,5,1.0
normal,Defector myth,56,6,1.0
normal,Defector myth,56,7,1.0
normal,Defector myth,56,8,1.0
normal,Defector myth,56,9,1.0
normal,Defector myth,56,10,1.0
normal,Defector myth,57,1,1.0
normal,Defector myth,57,2,0.95
normal,Defector myth,57,3,1.0
normal,Defector myth,57,4,1.0
normal,Defector myth,57,5,1.0
normal,Defector myth,57,6,1.0
normal,Defector myth,57,7,1.0
normal,Defector myth,57,8,1.0
normal,Defector myth,57,9,1.0
normal,Defector myth,57,10,1.0
normal,Defector myth,58,1,1.0
normal,Defector myth,58,2,1.0
normal,Defector myth,58,3,1.0
normal,Defector myth,58,4,1.0
normal,Defector myth,58,5,1.0
normal,Defector myth,58,6,1.0
normal,Defector myth,58,7,1.0
normal,Defector myth,58,8,1.0
normal,Defector myth,58,9,1.0
normal,Defector myth,58,10,1.0
normal,Defector myth,59,1,1.0
normal,Defector myth,59,2,1.0
normal,Defector myth,59,3,1.0
normal,Defector myth,59,4,1.0
normal,Defector myth,59,5,1.0
normal,Defector myth,59,6,1.0
normal,Defector myth,59,7,1.0
normal,Defector myth,59,8,1.0
normal,Defector myth,59,9,1.0
normal,Defector myth,59,10,1.0
standard_substitute,Ordinary substitute,50,1,1.0
standard_substitute,Ordinary substitute,50,2,1.0
standard_substitute,Ordinary substitute,50,3,1.0
standard_substitute,Ordinary substitute,50,4,1.0
standard_substitute,Ordinary substitute,50,5,1.0
standard_substitute,Ordinary substitute,50,6,1.0
standard_substitute,Ordinary substitute,50,7,1.0
standard_substitute,Ordinary substitute,50,8,0.6666666666666666
standard_substitute,Ordinary substitute,50,9,1.0
standard_substitute,Ordinary substitute,50,10,1.0
standard_substitute,Ordinary substitute,51,1,1.0
standard_substitute,Ordinary substitute,51,2,1.0
standard_substitute,Ordinary substitute,51,3,0.6666666666666666
standard_substitute,Ordinary substitute,51,4,1.0
standard_substitute,Ordinary substitute,51,5,1.0
standard_substitute,Ordinary substitute,51,6,1.0
standard_substitute,Ordinary substitute,51,7,1.0
standard_substitute,Ordinary substitute,51,8,1.0
standard_substitute,Ordinary substitute,51,9,1.0
standard_substitute,Ordinary substitute,51,10,1.0
standard_substitute,Ordinary substitute,52,1,1.0
standard_substitute,Ordinary substitute,52,2,1.0
standard_substitute,Ordinary substitute,52,3,1.0
standard_substitute,Ordinary substitute,52,4,1.0
standard_substitute,Ordinary substitute,52,5,1.0
standard_substitute,Ordinary substitute,52,6,1.0
standard_substitute,Ordinary substitute,52,7,1.0
standard_substitute,Ordinary substitute,52,8,1.0
standard_substitute,Ordinary substitute,52,9,1.0
standard_substitute,Ordinary substitute,52,10,1.0
standard_substitute,Ordinary substitute,53,1,1.0
standard_substitute,Ordinary substitute,53,2,1.0
standard_substitute,Ordinary substitute,53,3,1.0
