policy,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses
normal,50,306158,19537,0,160,0,20
normal,51,305727,19326,0,160,0,20
normal,52,306463,19529,0,160,0,20
normal,53,309792,19605,0,160,0,20
normal,54,306342,19328,0,160,0,20
normal,55,304830,19144,0,160,0,20
normal,56,307077,19475,0,160,0,20
normal,57,307475,19559,0,160,0,20
normal,58,306243,19396,0,160,0,20
normal,59,308910,19693,0,160,0,20
standard_substitute,50,305530,19503,0,160,0,20
standard_substitute,51,306282,19474,0,160,0,20
standard_substitute,52,307877,19658,0,160,0,20
standard_substitute,53,306966,19417,0,160,0,20
standard_substitute,54,306476,19420,0,160,0,20
standard_substitute,55,310197,19586,0,160,0,20
standard_substitute,56,305430,19303,0,160,0,20
standard_substitute,57,304686,19313,0,160,0,20
standard_substitute,58,305060,19316,0,160,0,20
standard_substitute,59,308494,19571,0,160,0,20
