policy,policy_label,scope,lexicon,term,count
normal,Defector myth,presented,cooperation_fairness,trust,68
normal,Defector myth,presented,cooperation_fairness,return,48
normal,Defector myth,presented,cooperation_fairness,shared,32
normal,Defector myth,presented,cooperation_fairness,returned,22
normal,Defector myth,presented,cooperation_fairness,returning,17
normal,Defector myth,presented,cooperation_fairness,gift,15
normal,Defector myth,presented,cooperation_fairness,mutual,13
normal,Defector myth,presented,cooperation_fairness,reciprocity,12
normal,Defector myth,presented,cooperation_fairness,share,12
normal,Defector myth,presented,cooperation_fairness,cooperation,7
normal,Defector myth,presented,cooperation_fairness,shards,7
normal,Defector myth,presented,cooperation_fairness,together,7
normal,Defector myth,presented,cooperation_fairness,trusting,6
normal,Defector myth,presented,cooperation_fairness,generosity,5
normal,Defector myth,presented,cooperation_fairness,returns,5
normal,Defector myth,presented,cooperation_fairness,sharing,4
normal,Defector myth,presented,cooperation_fairness,fair,3
normal,Defector myth,presented,cooperation_fairness,fairness,1
normal,Defector myth,presented,cooperation_fairness,helped,1
normal,Defector myth,presented,cooperation_fairness,reciprocal,1
normal,Defector myth,presented,cooperation_fairness,reciprocates,1
normal,Defector myth,presented,cooperation_fairness,reciprocation,1
normal,Defector myth,presented,cooperation_fairness,shares,1
normal,Defector myth,presented,cooperation_fairness,trusted,1
normal,Defector myth,presented,defection_threat,withholding,5
normal,Defector myth,presented,defection_threat,betrayal,4
normal,Defector myth,presented,defection_threat,withhold,4
normal,Defector myth,presented,defection_threat,zero,3
normal,Defector myth,presented,defection_threat,betrayals,2
normal,Defector myth,presented,defection_threat,exploit,2
normal,Defector myth,presented,defection_threat,threatened,2
normal,Defector myth,presented,defection_threat,exploitation,1
normal,Defector myth,presented,defection_threat,selfishly,1
normal,Defector myth,presented,defection_threat,selfishness,1
normal,Defector myth,presented,defection_threat,threat,1
normal,Defector myth,presented,defection_threat,withholds,1
normal,Defector myth,target_response,cooperation_fairness,trust,64
normal,Defector myth,target_response,cooperation_fairness,return,53
normal,Defector myth,target_response,cooperation_fairness,shared,49
normal,Defector myth,target_response,cooperation_fairness,reciprocity,23
normal,Defector myth,target_response,cooperation_fairness,returning,23
normal,Defector myth,target_response,cooperation_fairness,returned,17
normal,Defector myth,target_response,cooperation_fairness,trusting,16
normal,Defector myth,target_response,cooperation_fairness,mutual,15
normal,Defector myth,target_response,cooperation_fairness,together,12
normal,Defector myth,target_response,cooperation_fairness,generosity,8
normal,Defector myth,target_response,cooperation_fairness,gift,7
normal,Defector myth,target_response,cooperation_fairness,share,6
normal,Defector myth,target_response,cooperation_fairness,cooperation,5
normal,Defector myth,target_response,cooperation_fairness,returns,5
normal,Defector myth,target_response,cooperation_fairness,shards,3
normal,Defector myth,target_response,cooperation_fairness,fairly,2
normal,Defector myth,target_response,cooperation_fairness,fairness,2
normal,Defector myth,target_response,cooperation_fairness,reciprocal,2
normal,Defector myth,target_response,cooperation_fairness,fair,1
